Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Asansol,01/07/2016,50,Other,4750,4850,4800,
,02/07/2016,50,Other,4650,4750,4700,
,03/07/2016,45,Other,4650,4750,4700,
,04/07/2016,50,Other,4650,4750,4700,
,06/07/2016,50,Other,4650,4750,4700,
,07/07/2016,45,Other,4650,4750,4700,
,08/07/2016,50,Other,4650,4750,4700,
,09/07/2016,48,Other,4650,4750,4700,
,10/07/2016,50,Other,4650,4750,4700,
,11/07/2016,48,Other,4650,4750,4700,
,12/07/2016,50,Other,4650,4750,4700,
,13/07/2016,48,Other,4650,4750,4700,
,14/07/2016,45,Other,4650,4750,4700,
,15/07/2016,50,Other,4650,4750,4700,
,16/07/2016,48,Other,4650,4750,4700,
,17/07/2016,48,Other,4650,4750,4700,
,18/07/2016,50,Other,4650,4800,4750,
,19/07/2016,45,Other,4650,4800,4750,
,21/07/2016,50,Other,4700,4800,4750,
,22/07/2016,45,Other,4700,4800,4750,
,23/07/2016,50,Other,4700,4800,4750,
,24/07/2016,50,Other,4700,4800,4750,
,25/07/2016,45,Other,4700,4800,4750,
,26/07/2016,48,Other,4700,4800,4750,
,27/07/2016,50,Other,4750,4900,4800,
,28/07/2016,48,Other,4750,4900,4800,
,30/07/2016,50,Other,4750,4900,4800,
,31/07/2016,48,Other,4750,4900,4800,
Balarampur,01/07/2016,0.44,Mustard,4700,4900,4800,
,02/07/2016,0.41,Mustard,4700,4900,4800,
,03/07/2016,0.42,Mustard,4700,4900,4800,
,04/07/2016,0.43,Mustard,4700,4900,4800,
,05/07/2016,0.44,Mustard,4700,4900,4800,
,06/07/2016,0.41,Mustard,4700,4900,4800,
,07/07/2016,0.4,Mustard,4700,4900,4800,
,08/07/2016,0.42,Mustard,4700,4900,4800,
,09/07/2016,0.42,Mustard,4700,4900,4800,
,10/07/2016,0.42,Mustard,4700,4900,4800,
,11/07/2016,0.43,Mustard,4700,4900,4800,
,12/07/2016,0.45,Mustard,4800,5000,4900,
,13/07/2016,0.43,Mustard,4800,5000,4900,
,14/07/2016,0.42,Mustard,4800,5000,4900,
,15/07/2016,0.41,Mustard,4800,5000,4900,
,16/07/2016,0.44,Mustard,4800,5000,4900,
,17/07/2016,0.41,Mustard,4800,5000,4900,
,18/07/2016,0.43,Mustard,4800,5000,4900,
,20/07/2016,0.41,Mustard,4800,5000,4900,
,21/07/2016,0.42,Mustard,4800,5000,4900,
,22/07/2016,0.43,Mustard,4800,5000,4950,
,23/07/2016,0.41,Mustard,4800,5000,4950,
,24/07/2016,0.42,Mustard,4800,5000,4950,
,25/07/2016,0.43,Mustard,4800,5000,4950,
,26/07/2016,0.41,Mustard,4800,5000,4950,
,27/07/2016,0.38,Mustard,4800,5000,4950,
,28/07/2016,0.35,Mustard,4800,5000,4950,
,29/07/2016,0.37,Mustard,4800,5000,4950,
,30/07/2016,0.36,Mustard,4800,5000,4950,
Balurghat,01/07/2016,15,Yellow (Black),4300,4450,4400,
,02/07/2016,16,Yellow (Black),4250,4400,4300,
,03/07/2016,18,Yellow (Black),4300,4400,4350,
,04/07/2016,15,Yellow (Black),4300,4400,4350,
,05/07/2016,16,Yellow (Black),4250,4400,4300,
,06/07/2016,15,Yellow (Black),4300,4500,4400,
,07/07/2016,17,Yellow (Black),4200,4400,4300,
,08/07/2016,18,Yellow (Black),4200,4400,4300,
,09/07/2016,20,Yellow (Black),4250,4350,4300,
,10/07/2016,18,Yellow (Black),4200,4300,4250,
,11/07/2016,20,Yellow (Black),4200,4300,4250,
,12/07/2016,18,Yellow (Black),4200,4300,4250,
,13/07/2016,17,Yellow (Black),4250,4350,4300,
,14/07/2016,18,Yellow (Black),4260,4360,4300,
,15/07/2016,16,Yellow (Black),4240,4340,4300,
,17/07/2016,15,Yellow (Black),4350,4450,4400,
,18/07/2016,12,Yellow (Black),4400,4600,4500,
,21/07/2016,14,Yellow (Black),4600,4700,4650,
,28/07/2016,10,Yellow (Black),4500,4600,4550,
Bankura Sadar,01/07/2016,12,Other,4150,4350,4250,
,04/07/2016,13,Other,4200,4400,4300,
,05/07/2016,12,Other,4200,4400,4300,
,11/07/2016,11,Other,4200,4400,4300,
,12/07/2016,12,Other,4200,4400,4300,
,13/07/2016,9,Other,4300,4500,4400,
,14/07/2016,9,Other,4300,4500,4400,
,15/07/2016,10,Other,4300,4500,4400,
,18/07/2016,10,Other,4300,4500,4400,
,19/07/2016,11,Other,4300,4500,4400,
,20/07/2016,10,Other,4300,4500,4400,
,21/07/2016,9,Other,4300,4500,4400,
,22/07/2016,10,Other,4300,4500,4400,
,23/07/2016,9,Other,4300,4500,4400,
,24/07/2016,8,Other,4300,4500,4400,
,25/07/2016,12,Other,4300,4500,4400,
,26/07/2016,11,Other,4300,4500,4400,
,29/07/2016,12,Other,4300,4500,4400,
,30/07/2016,12,Other,4300,4500,4400,
,31/07/2016,11,Other,4300,4500,4400,
Baxirhat,01/07/2016,0.1,Mustard,4300,4500,4400,
,02/07/2016,0.1,Mustard,4300,4500,4400,
,04/07/2016,0.1,Mustard,4300,4500,4400,
,05/07/2016,0.1,Mustard,4300,4500,4400,
,06/07/2016,0.1,Mustard,4300,4500,4400,
,07/07/2016,0.1,Mustard,4300,4500,4400,
,08/07/2016,0.2,Mustard,4300,4500,4400,
,09/07/2016,0.1,Mustard,4300,4500,4400,
,10/07/2016,0.1,Mustard,4300,4500,4400,
,11/07/2016,0.1,Mustard,4300,4500,4400,
,12/07/2016,0.2,Mustard,4300,4500,4400,
,13/07/2016,0.1,Mustard,4300,4500,4400,
,14/07/2016,0.2,Mustard,4300,4500,4400,
,15/07/2016,0.2,Mustard,4300,4500,4400,
,16/07/2016,0.2,Mustard,4300,4500,4400,
,17/07/2016,0.2,Mustard,4300,4500,4400,
,21/07/2016,0.2,Mustard,4300,4500,4400,
,22/07/2016,0.2,Mustard,4300,4500,4400,
,23/07/2016,0.2,Mustard,4300,4500,4400,
,24/07/2016,0.1,Mustard,4300,4500,4400,
,25/07/2016,0.1,Mustard,4300,4500,4400,
,26/07/2016,0.3,Mustard,4300,4500,4400,
,27/07/2016,0.2,Mustard,4300,4500,4400,
,28/07/2016,0.2,Mustard,4300,4500,4400,
,30/07/2016,0.2,Mustard,4900,5100,5000,
,31/07/2016,0.2,Mustard,4300,4500,4400,
Beldanga,01/07/2016,28,Yellow (Black),4260,4300,4280,
,02/07/2016,30,Yellow (Black),4260,4300,4280,
,03/07/2016,32,Yellow (Black),4260,4300,4280,
,04/07/2016,32.5,Yellow (Black),4260,4300,4280,
