Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Asansol,01/09/2016,50,Other,4800,5000,4900,
,02/09/2016,40,Other,4800,5000,4950,
,03/09/2016,45,Other,4900,5000,4950,
,04/09/2016,48,Other,4850,5000,4950,
,05/09/2016,50,Other,4850,5000,4950,
,06/09/2016,45,Other,4900,5000,4950,
,07/09/2016,45,Other,4900,5000,4950,
,08/09/2016,50,Other,4900,5000,4950,
,09/09/2016,45,Other,4900,5000,4950,
,10/09/2016,45,Other,4900,5000,4950,
,11/09/2016,40,Other,4900,5000,4950,
,12/09/2016,45,Other,4900,5000,4950,
,13/09/2016,40,Other,4900,5000,4950,
,14/09/2016,45,Other,4900,5000,4950,
,15/09/2016,40,Other,4900,5000,4950,
,16/09/2016,20,Other,4900,5000,4950,
,17/09/2016,45,Other,4900,5000,4950,
,18/09/2016,45,Other,4900,5000,4950,
,19/09/2016,40,Other,4900,5000,4950,
,20/09/2016,45,Other,4950,5100,5000,
,22/09/2016,40,Other,4950,5100,5000,
,24/09/2016,40,Other,4950,5100,5000,
,25/09/2016,40,Other,4950,5100,5000,
,26/09/2016,45,Other,4950,5100,5000,
,27/09/2016,40,Other,4950,5100,5000,
,28/09/2016,45,Other,4700,4900,4800,
,29/09/2016,40,Other,4700,4900,4800,
,30/09/2016,40,Other,4700,4950,4900,
Bankura Sadar,05/09/2016,11,Mustard,4400,4600,4500,
,07/09/2016,11,Mustard,4400,4600,4500,
,08/09/2016,10,Mustard,4400,4600,4500,
,09/09/2016,11,Mustard,4400,4600,4500,
,12/09/2016,10,Mustard,4400,4600,4500,
,13/09/2016,11,Mustard,4400,4600,4500,
,14/09/2016,12,Mustard,4400,4600,4500,
,15/09/2016,13,Mustard,4300,4500,4400,
,16/09/2016,13,Mustard,4300,4500,4400,
,18/09/2016,12,Mustard,4200,4400,4300,
,19/09/2016,13,Mustard,4200,4400,4300,
,20/09/2016,12,Mustard,4200,4400,4300,
