Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Asansol,01/06/2017,30,Other,4200,4400,4300,
,02/06/2017,30,Other,4200,4400,4300,
,03/06/2017,30,Other,4200,4400,4300,
,04/06/2017,30,Other,4200,4400,4300,
,05/06/2017,35,Other,4200,4400,4300,
,06/06/2017,35,Other,4200,4400,4300,
,07/06/2017,35,Other,4200,4400,4300,
,09/06/2017,30,Other,4200,4400,4300,
,10/06/2017,30,Other,4200,4400,4300,
,11/06/2017,30,Other,4200,4400,4300,
,12/06/2017,30,Other,4200,4400,4300,
,13/06/2017,30,Other,4200,4400,4300,
,14/06/2017,35,Other,4200,4400,4300,
,15/06/2017,30,Other,4200,4400,4300,
,16/06/2017,30,Other,4200,4400,4300,
,17/06/2017,30,Other,4200,4400,4300,
,18/06/2017,30,Other,4200,4400,4300,
,19/06/2017,30,Other,4200,4400,4300,
,20/06/2017,30,Other,4200,4400,4300,
,21/06/2017,30,Other,4200,4400,4300,
,22/06/2017,30,Other,4200,4400,4300,
,23/06/2017,30,Other,4200,4400,4300,
,24/06/2017,30,Other,4200,4400,4300,
,25/06/2017,30,Other,4200,4400,4300,
,26/06/2017,35,Other,4200,4400,4300,
,27/06/2017,30,Other,4200,4400,4300,
,28/06/2017,30,Other,4100,4300,4200,
,29/06/2017,30,Other,4100,4300,4200,
,30/06/2017,35,Other,4100,4300,4200,
Bankura Sadar,01/06/2017,7,Mustard,3900,4100,4000,
,02/06/2017,9,Mustard,3900,4100,4000,
,05/06/2017,9,Mustard,3900,4100,4000,
,06/06/2017,8,Mustard,3900,4100,4000,
,07/06/2017,9,Mustard,3900,4100,4000,
,08/06/2017,8,Mustard,3900,4100,4000,
,09/06/2017,10,Mustard,3900,4100,4000,
,10/06/2017,8,Mustard,3900,4100,4000,
,12/06/2017,10,Mustard,3900,4100,4000,
,13/06/2017,8,Mustard,3900,4100,4000,
,14/06/2017,7,Mustard,3900,4100,4000,
,18/06/2017,5,Mustard,3900,4100,4000,
,19/06/2017,8,Mustard,3900,4100,4000,
,20/06/2017,7,Mustard,3900,4100,4000,
,21/06/2017,9,Mustard,3900,4100,4000,
,22/06/2017,7,Mustard,3900,4100,4000,
,23/06/2017,10,Mustard,3900,4100,4000,
,24/06/2017,8,Mustard,3900,4100,4000,
,25/06/2017,7,Mustard,3900,4100,4000,
,26/06/2017,8,Mustard,3900,4100,4000,
,27/06/2017,9,Mustard,3900,4100,4000,
,28/06/2017,8,Mustard,3950,4150,4050,
,29/06/2017,7,Mustard,3900,4100,4000,
Baxirhat,01/06/2017,0.8,Mustard,3400,3600,3500,
,02/06/2017,1,Mustard,3400,3600,3500,
,04/06/2017,0.6,Mustard,3400,3600,3500,
,07/06/2017,1,Mustard,3400,3600,3500,
,08/06/2017,0.8,Mustard,3400,3600,3500,
,09/06/2017,0.8,Mustard,3400,3600,3500,
,10/06/2017,0.7,Mustard,3400,3600,3500,
,11/06/2017,0.8,Mustard,3400,3600,3500,
,12/06/2017,0.8,Mustard,3500,3700,3600,
,13/06/2017,0.8,Mustard,3500,3700,3600,
,14/06/2017,1,Mustard,3500,3700,3600,
,15/06/2017,0.8,Mustard,3500,3700,3600,
,18/06/2017,0.6,Mustard,3500,3700,3600,
,19/06/2017,0.6,Mustard,3500,3700,3600,
,20/06/2017,1.2,Mustard,3400,3600,3500,
,21/06/2017,0.6,Mustard,3500,3700,3600,
,22/06/2017,0.6,Mustard,3500,3700,3600,
,23/06/2017,0.6,Mustard,3500,3700,3600,
,24/06/2017,0.6,Mustard,3500,3700,3600,
,25/06/2017,0.5,Mustard,3500,3700,3600,
,26/06/2017,1,Mustard,3500,3700,3600,
,27/06/2017,1.2,Mustard,3500,3700,3600,
,28/06/2017,1,Mustard,3500,3700,3600,
,29/06/2017,0.6,Mustard,3400,3700,3500,
Beldanga,01/06/2017,20,Yellow (Black),3570,3650,3600,
,03/06/2017,20,Yellow (Black),3580,3650,3600,
,04/06/2017,22,Yellow (Black),3580,3650,3600,
,05/06/2017,25,Yellow (Black),3590,3650,3600,
,07/06/2017,25,Yellow (Black),3580,3650,3600,
,08/06/2017,20,Yellow (Black),3580,3640,3600,
,11/06/2017,25,Yellow (Black),3575,3650,3600,
,12/06/2017,20,Yellow (Black),3580,3650,3600,
,13/06/2017,20,Yellow (Black),3580,3650,3600,
,14/06/2017,20,Yellow (Black),3500,3600,3550,
,15/06/2017,20,Yellow (Black),3500,3570,3550,
,17/06/2017,24,Yellow (Black),3500,3570,3560,
