Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aligarh,02/05/2016,190,Basumathi,1900,1960,1930,
,03/05/2016,190,Basumathi,1900,2000,1940,
,04/05/2016,220,Basumathi,1900,2000,1950,
,05/05/2016,210,Basumathi,1900,1980,1930,
,06/05/2016,200,Basumathi,1900,2000,1940,
,07/05/2016,180,Basumathi,1900,2000,1950,
,09/05/2016,210,Basumathi,1900,2000,1940,
,10/05/2016,190,Basumathi,1900,1950,1920,
,11/05/2016,160,Basumathi,1840,1950,1900,
,12/05/2016,130,Basumathi,1870,1960,1920,
,13/05/2016,140,Basumathi,1880,1970,1930,
,14/05/2016,130,Basumathi,1860,1960,1920,
,16/05/2016,125,Basumathi,1850,1950,1910,
,17/05/2016,150,Basumathi,1880,1950,1900,
,18/05/2016,120,Basumathi,1900,1950,1920,
,19/05/2016,130,Basumathi,1880,1940,1910,
,20/05/2016,120,Basumathi,1900,2000,1920,
,21/05/2016,130,Basumathi,1900,1960,1920,
,23/05/2016,140,Basumathi,1900,1950,1925,
,24/05/2016,140,Basumathi,1900,1950,1930,
,25/05/2016,360,Basumathi,1900,1950,1920,
,26/05/2016,130,Basumathi,1900,1970,1940,
,27/05/2016,140,Basumathi,1900,2000,1950,
,28/05/2016,130,Basumathi,1900,1970,1930,
,30/05/2016,120,Basumathi,1900,1950,1920,
,31/05/2016,100,Basumathi,1960,2000,1980,
Anandnagar,06/05/2016,10,Other,1200,1450,1340,
,09/05/2016,3,Other,1200,1450,1360,
,13/05/2016,20,Other,1260,1450,1360,
,14/05/2016,15,Other,1250,1500,1365,
,17/05/2016,10,Other,1200,1400,1360,
,23/05/2016,10,Other,1250,1475,1360,
,24/05/2016,8,Other,1300,1550,1410,
,25/05/2016,7.5,Other,1300,1550,1400,
,26/05/2016,10,Other,1300,1550,1410,
,27/05/2016,8,Other,1250,1550,1410,
,28/05/2016,8,Other,1300,1550,1410,
,30/05/2016,7,Other,1300,1550,1410,
Bahraich,02/05/2016,126,Paddy,1340,1375,1360,
,03/05/2016,55.5,Paddy,1350,1380,1365,
,04/05/2016,55.5,Paddy,1345,1375,1360,
,05/05/2016,66,Paddy,1350,1375,1365,
,06/05/2016,8.5,Paddy,1345,1375,1360,
,07/05/2016,10.5,Paddy,1350,1380,1365,
,09/05/2016,76.5,Paddy,1345,1375,1360,
,10/05/2016,100,Paddy,1350,1380,1365,
,11/05/2016,101.5,Paddy,1345,1380,1360,
,12/05/2016,42.5,Paddy,1350,1380,1365,
,13/05/2016,84,Paddy,1350,1385,1360,
,14/05/2016,52.2,Paddy,1350,1380,1365,
,16/05/2016,122,Paddy,1345,1380,1360,
,17/05/2016,115,Paddy,1350,1380,1365,
,18/05/2016,69,Paddy,1340,1385,1360,
,19/05/2016,60,Paddy,1345,1380,1365,
,20/05/2016,16.5,Paddy,1345,1385,1360,
,21/05/2016,40,Paddy,1345,1385,1360,
,23/05/2016,63.5,Paddy,1345,1380,1365,
,24/05/2016,35.5,Paddy,1345,1380,1360,
,25/05/2016,37,Paddy,1350,1385,1365,
,26/05/2016,16.5,Paddy,1350,1385,1365,
,27/05/2016,2,Paddy,1345,1385,1360,
,28/05/2016,38,Paddy,1350,1380,1365,
,30/05/2016,105.6,Paddy,1340,1385,1360,
Balrampur,02/05/2016,4.5,Other,1315,1350,1335,
,03/05/2016,80,Other,1315,1360,1335,
,04/05/2016,78.5,Other,1310,1360,1335,
,05/05/2016,86,Other,1310,1355,1335,
,06/05/2016,75,Other,1315,1360,1335,
,07/05/2016,58,Other,1320,1365,1340,
,09/05/2016,41,Other,1315,1360,1335,
,10/05/2016,45,Other,1320,1365,1340,
,12/05/2016,53.5,Other,1340,1385,1360,
,13/05/2016,46,Other,1340,1390,1365,
,16/05/2016,48.5,Other,1345,1390,1365,
,18/05/2016,60,Other,1350,1390,1370,
,21/05/2016,51,Other,1350,1395,1370,
,23/05/2016,45,Other,1350,1390,1370,
,24/05/2016,62.5,Other,1350,1390,1370,
,25/05/2016,85,Other,1340,1380,1365,
,27/05/2016,45,Other,1350,1385,1365,
,31/05/2016,62.5,Other,1340,1380,1360,
Barabanki,24/05/2016,52,Paddy Coarse,1350,1410,1400,
Basti,01/05/2016,72.5,Paddy Coarse,NR,NR,1300,
,03/05/2016,80,Paddy Coarse,NR,NR,1275,
,04/05/2016,69,Paddy Coarse,NR,NR,1275,
,05/05/2016,90,Paddy Coarse,NR,NR,1275,
,06/05/2016,84.5,Paddy Coarse,NR,NR,1275,
,07/05/2016,75,Paddy Coarse,1200,1410,1275,
,11/05/2016,79,Paddy Coarse,NR,NR,1250,
,12/05/2016,66,Paddy Coarse,NR,NR,1250,
,13/05/2016,58.5,Paddy Coarse,NR,NR,1250,
,14/05/2016,70,Paddy Coarse,NR,NR,1250,
,15/05/2016,54,Paddy Coarse,NR,NR,1250,
,17/05/2016,60.5,Paddy Coarse,NR,NR,1260,
,18/05/2016,57.5,Paddy Coarse,NR,NR,1260,
,19/05/2016,63.5,Paddy Coarse,NR,NR,1260,
,20/05/2016,57,Paddy Coarse,NR,NR,1260,
,21/05/2016,64.5,Paddy Coarse,NR,NR,1260,
