Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Akbarpur,02/08/2017,35,Paddy,1420,1460,1440,
,03/08/2017,25,Paddy,1400,1460,1430,
,04/08/2017,30,Paddy,1425,1465,1445,
,05/08/2017,27.5,Paddy,1420,1460,1440,
,06/08/2017,32.5,Paddy,1425,1475,1450,
,07/08/2017,25,Paddy,1425,1475,1450,
,09/08/2017,35,Paddy,1420,1465,1445,
,10/08/2017,20,Paddy,1425,1475,1450,
,11/08/2017,37.5,Paddy,1400,1450,1425,
,12/08/2017,28,Paddy,1420,1445,1435,
,13/08/2017,30,Paddy,1415,1455,1435,
,14/08/2017,25,Paddy,1420,1460,1440,
,16/08/2017,28,Paddy,1420,1470,1445,
,17/08/2017,20,Paddy,1420,1460,1440,
,18/08/2017,37.5,Paddy,1410,1460,1435,
,19/08/2017,45,Paddy,1400,1450,1425,
,20/08/2017,30,Paddy,1400,1450,1425,
,21/08/2017,35,Paddy,1420,1460,1440,
,23/08/2017,27.5,Paddy,1420,1470,1445,
,24/08/2017,38,Paddy,1420,1470,1445,
,25/08/2017,25,Paddy,1420,1460,1440,
,26/08/2017,32.5,Paddy,1425,1475,1450,
,27/08/2017,28,Paddy,1425,1475,1450,
,28/08/2017,35,Paddy,1420,1460,1440,
,30/08/2017,30,Paddy,1425,1475,1450,
,31/08/2017,45,Paddy,1400,1450,1425,
Aligarh,01/08/2017,30, ,NR,NR,NR,
,02/08/2017,40,Basumathi,2280,2320,2300,
,03/08/2017,40,Basumathi,2250,2350,2300,
,04/08/2017,40,Basumathi,2250,2350,2300,
,05/08/2017,30,Basumathi,2200,2300,2250,
,08/08/2017,30,Basumathi,2250,2350,2300,
,09/08/2017,35,Basumathi,2250,2350,2300,
,10/08/2017,35,Basumathi,2230,2330,2280,
,11/08/2017,30,Basumathi,2250,2350,2300,
,12/08/2017,30,Basumathi,2250,2350,2300,
,14/08/2017,30,Basumathi,2230,2330,2280,
,15/08/2017,20,Basumathi,2250,2300,2280,
,,,Paddy fine,2450,2550,2500,
,16/08/2017,35,Basumathi,2250,2350,2300,
,17/08/2017,30,Basumathi,2230,2330,2280,
,18/08/2017,35,Basumathi,2220,2320,2270,
,19/08/2017,35,Basumathi,2230,2320,2280,
,21/08/2017,30,Basumathi,2220,2290,2270,
,22/08/2017,30,Basumathi,2230,2330,2280,
,23/08/2017,40,Basumathi,2220,2320,2270,
,24/08/2017,30,Basumathi,2230,2330,2280,
,25/08/2017,40,Basumathi,2250,2350,2300,
,26/08/2017,30,Basumathi,2220,2320,2270,
,28/08/2017,30,Basumathi,2210,2310,2260,
,29/08/2017,30,Basumathi,2230,2330,2280,
