Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Akbarpur,01/02/2017,158,Paddy,1460,1470,1470,
,02/02/2017,185,Paddy,1450,1470,1470,
,03/02/2017,137.5,Paddy,1450,1470,1470,
,04/02/2017,197,Paddy,1450,1470,1470,
,05/02/2017,215,Paddy,1460,1470,1470,
,06/02/2017,205,Paddy,1450,1470,1470,
,10/02/2017,207.5,Paddy,1460,1470,1470,
,11/02/2017,215,Paddy,1450,1470,1470,
,12/02/2017,187.5,Paddy,1460,1470,1470,
,13/02/2017,195,Paddy,1440,1470,1470,
,15/02/2017,217.5,Paddy,1445,1470,1470,
,16/02/2017,197.5,Paddy,1450,1470,1470,
,17/02/2017,180,Paddy,1440,1470,1470,
,18/02/2017,165,Paddy,1450,1470,1470,
,19/02/2017,188,Paddy,1440,1470,1470,
,20/02/2017,202.5,Paddy,1440,1470,1470,
,22/02/2017,199,Paddy,1450,1470,1470,
,23/02/2017,215,Paddy,1440,1470,1450,
,24/02/2017,162.5,Paddy,1425,1470,1450,
,25/02/2017,125,Paddy,1430,1470,1445,
,26/02/2017,150,Paddy,1380,1470,1400,
Aligarh,01/02/2017,800,Basumathi,2750,2850,2800,
,02/02/2017,1000,Basumathi,2700,2800,2750,
,03/02/2017,700,Basumathi,2750,2850,2800,
,04/02/2017,500,Basumathi,2770,2870,2820,
,06/02/2017,700,Basumathi,2780,2880,2830,
,07/02/2017,600,Basumathi,2800,2900,2850,
,08/02/2017,520,Basumathi,2790,2890,2840,
,09/02/2017,550,Basumathi,2750,2850,2800,
,10/02/2017,450,Basumathi,2750,2850,2800,
,13/02/2017,300,Basumathi,2800,2900,2850,
,14/02/2017,370,Basumathi,2700,2800,2750,
,15/02/2017,400,Basumathi,2650,2750,2700,
,16/02/2017,370,Basumathi,2650,2750,2700,
,17/02/2017,400,Basumathi,2700,2800,2750,
,18/02/2017,500,Basumathi,2650,2750,2700,
,20/02/2017,400,Basumathi,2700,2800,2750,
,21/02/2017,500,Basumathi,2700,2800,2750,
,22/02/2017,450,Basumathi,2750,2850,2800,
,23/02/2017,550,Basumathi,2700,2800,2750,
,24/02/2017,400,Basumathi,2750,2850,2800,
,25/02/2017,350,Basumathi,2700,2800,2750,
,27/02/2017,500,Basumathi,2750,2850,2800,
,28/02/2017,450,Basumathi,2700,2800,2750,
Anandnagar,01/02/2017,30,Other,1150,1675,1470,
,02/02/2017,30,Other,1200,1650,1470,
,03/02/2017,54,Other,1150,1675,1470,
,04/02/2017,30,Other,1150,1660,1470,
,06/02/2017,25,Other,1150,1675,1470,
,07/02/2017,30,Other,1150,1675,1470,
,08/02/2017,25,Other,1200,1675,1470,
,09/02/2017,40,Other,1200,1675,1470,
,10/02/2017,25,Other,NR,NR,1470,
,11/02/2017,20,Other,1150,1675,1470,
,13/02/2017,10,Other,1150,1650,1470,
,14/02/2017,20,Other,1140,1660,1470,
,15/02/2017,20,Other,1125,1650,1470,
,16/02/2017,35,Other,1150,1650,1460,
,17/02/2017,10,Other,1150,1650,1460,
,20/02/2017,15,Other,1150,1650,1450,
,22/02/2017,25,Other,1150,1650,1450,
,23/02/2017,40,Other,1150,1650,1450,
,24/02/2017,10,Other,1200,1660,1450,
,25/02/2017,20,Other,1150,1650,1450,
,27/02/2017,15,Other,1150,1650,1450,
,28/02/2017,15,Other,1150,1650,1450,
Anoop Shahar,27/02/2017,665,Basumathi,2400,2860,2670,
Azamgarh,01/02/2017,187,Paddy Coarse,NR,NR,1470,
,02/02/2017,189,Paddy Coarse,NR,NR,1470,
,03/02/2017,185,Paddy Coarse,NR,NR,1470,
,04/02/2017,182,Paddy Coarse,NR,NR,1470,
,06/02/2017,180,Paddy Coarse,NR,NR,1470,
,07/02/2017,175,Paddy Coarse,NR,NR,1470,
,08/02/2017,155,Paddy Coarse,NR,NR,1470,
,09/02/2017,174,Paddy Coarse,NR,NR,1470,
,10/02/2017,160,Paddy Coarse,NR,NR,1470,
,11/02/2017,155,Paddy Coarse,NR,NR,1470,
,13/02/2017,150,Paddy Coarse,NR,NR,1470,
,14/02/2017,144,Paddy Coarse,NR,NR,1470,
,15/02/2017,128,Paddy Coarse,NR,NR,1470,
,16/02/2017,140,Paddy Coarse,NR,NR,1470,
,17/02/2017,136,Paddy Coarse,NR,NR,1470,
,18/02/2017,120,Paddy Coarse,NR,NR,1470,
,20/02/2017,115,Other,NR,NR,1470,
,21/02/2017,110,Paddy Coarse,NR,NR,1470,
,22/02/2017,100,Paddy Coarse,NR,NR,1470,
,23/02/2017,98,Paddy Coarse,NR,NR,1470,
,24/02/2017,95,Paddy Coarse,NR,NR,1470,
,25/02/2017,90,Paddy Coarse,NR,NR,1470,
,27/02/2017,125,Paddy Coarse,NR,NR,1470,
Bahraich,01/02/2017,304.6,Paddy,1210,1470,1470,
,02/02/2017,210.2,Paddy,1200,1470,1470,
,03/02/2017,444.5,Paddy,1210,1470,1470,
,04/02/2017,200.6,Paddy,1190,1470,1470,
,06/02/2017,353.3,Paddy,1215,1470,1470,
,07/02/2017,262.7,Paddy,1215,1470,1470,
,08/02/2017,617.1,Paddy,1210,1470,1470,
,09/02/2017,276.8,Paddy,1225,1470,1470,
,11/02/2017,256.4,Paddy,1180,1470,1470,
,13/02/2017,379.8,Paddy,1210,1470,1470,
,14/02/2017,266.6,Paddy,1210,1470,1470,
,15/02/2017,663.9,Paddy,1200,1470,1470,
,16/02/2017,332.6,Paddy,1210,1470,1470,
,17/02/2017,927.9,Paddy,1215,1470,1470,
,18/02/2017,713.5,Paddy,1220,1470,1470,
,20/02/2017,213.4,Paddy,1215,1470,1420,
,21/02/2017,230.9,Paddy,1220,1470,1420,
,22/02/2017,252.1,Paddy,1230,1470,1400,
,23/02/2017,387.3,Paddy,1220,1470,1400,
,24/02/2017,352.4,Paddy,1235,1470,1400,
,25/02/2017,187.5,Paddy,1230,1470,1400,
,28/02/2017,201,Paddy,1220,1470,1400,
Balrampur,01/02/2017,102.5,Other,1450,1485,1470,
,02/02/2017,90,Other,1450,1485,1470,
,06/02/2017,85,Other,1340,1410,1360,
,09/02/2017,75,Other,1400,1470,1415,
,10/02/2017,95,Other,1400,1470,1415,
,11/02/2017,110,Other,1410,1470,1425,
,13/02/2017,98,Other,1415,1470,1435,
,14/02/2017,75,Other,1420,1470,1435,
,15/02/2017,86.5,Other,1425,1470,1440,
,16/02/2017,90,Other,1425,1470,1440,
,17/02/2017,102.5,Other,1425,1470,1440,
,18/02/2017,85,Other,1425,1470,1440,
,20/02/2017,85,Other,1425,1470,1440,
,21/02/2017,60,Other,1425,1470,1440,
,22/02/2017,65,Other,1420,1470,1435,
,24/02/2017,55,Other,1420,1470,1435,
,25/02/2017,67.5,Other,1420,1470,1435,
,27/02/2017,95,Other,1420,1470,1435,
,28/02/2017,60,Other,1420,1470,1435,
Bangarmau,01/02/2017,110,Paddy Coarse,1200,1300,1255,
