Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Balurghat,07/12/2016,70,Common,1050,1100,1080,
Bankura Sadar,02/12/2016,8,Common,1200,1300,1240,
,06/12/2016,8,Common,1160,1220,1200,
,07/12/2016,8,Common,1180,1220,1200,
Baxirhat,02/12/2016,150,Swarna Masuri (New),1000,1100,1050,
,06/12/2016,180,Swarna Masuri (New),1000,1100,1050,
,13/12/2016,170,Swarna Masuri (New),1000,1100,1050,
,16/12/2016,180,Swarna Masuri (New),1050,1150,1100,
,20/12/2016,180,Swarna Masuri (New),1050,1150,1100,
,23/12/2016,190,Swarna Masuri (New),1050,1150,1100,
,27/12/2016,180,Swarna Masuri (New),1050,1150,1100,
,30/12/2016,190,Swarna Masuri (New),1050,1150,1100,
Belacoba,03/12/2016,12,Common,950,1010,980,
,07/12/2016,12,Common,980,1025,1000,
,10/12/2016,12,Common,900,1000,950,
,17/12/2016,12,Common,950,1000,970,
,28/12/2016,12,Common,950,1000,980,
,31/12/2016,15,Common,1000,1050,1025,
Birbhum,01/12/2016,134,Common,1320,1340,1330,
,02/12/2016,132,Common,1310,1330,1320,
,03/12/2016,131,Common,1310,1330,1320,
,05/12/2016,120,Swarna Masuri (New),1040,1060,1050,
,06/12/2016,121,Swarna Masuri (New),1020,1040,1030,
,07/12/2016,122.5,Swarna Masuri (New),1010,1030,1020,
,08/12/2016,123,Swarna Masuri (New),1010,1025,1015,
,09/12/2016,123.7,Swarna Masuri (New),1010,1020,1015,
,11/12/2016,124,Swarna Masuri (New),1000,1020,1010,
,12/12/2016,123.7,Swarna Masuri (New),1000,1020,1010,
,13/12/2016,124,Swarna Masuri (New),1000,1020,1010,
,14/12/2016,124.2,Swarna Masuri (New),1000,1020,1010,
,15/12/2016,125,Swarna Masuri (New),1005,1020,1015,
,16/12/2016,126.2,Swarna Masuri (New),1000,1020,1010,
,17/12/2016,126,Common,1000,1020,1010,
,18/12/2016,125.7,Swarna Masuri (New),1000,1020,1010,
,19/12/2016,126,Swarna Masuri (New),1005,1020,1015,
,20/12/2016,127.5,Swarna Masuri (New),1000,1020,1010,
,21/12/2016,128,Swarna Masuri (New),1000,1015,1005,
,24/12/2016,125,Swarna Masuri (New),1000,1020,1010,
,26/12/2016,124,Swarna Masuri (New),1020,1040,1030,
,27/12/2016,122,Swarna Masuri (New),1025,1040,1035,
,30/12/2016,120,Swarna Masuri (New),1030,1050,1040,
,31/12/2016,119,Swarna Masuri (New),1030,1050,1040,
Bishnupur(Bankura),01/12/2016,45,Fine,1400,1500,1450,
,02/12/2016,60,Fine,1400,1500,1450,
,03/12/2016,50,Fine,1400,1500,1450,
,04/12/2016,60,Fine,1400,1500,1450,
,05/12/2016,80,Fine,1400,1500,1450,
,06/12/2016,70,Fine,1400,1500,1450,
,07/12/2016,60,Fine,1370,1420,1400,
,08/12/2016,65,Fine,1370,1420,1400,
,09/12/2016,60,Fine,1370,1420,1400,
,10/12/2016,70,Fine,1370,1420,1400,
,11/12/2016,60,Fine,1370,1420,1400,
,12/12/2016,80,Fine,1370,1420,1400,
,13/12/2016,80,Fine,1370,1420,1400,
,14/12/2016,70,Fine,1370,1420,1400,
,15/12/2016,75,Fine,1380,1420,1400,
,16/12/2016,70,Fine,1380,1420,1400,
,17/12/2016,60,Fine,1380,1420,1400,
,18/12/2016,60,Fine,1370,1420,1400,
,19/12/2016,70,Fine,1370,1420,1400,
,20/12/2016,80,Fine,1370,1420,1400,
,21/12/2016,50,Fine,1380,1420,1400,
,22/12/2016,45,Fine,1380,1420,1400,
,23/12/2016,45,Fine,1380,1420,1400,
,24/12/2016,50,Fine,1380,1420,1400,
,25/12/2016,45,Fine,1470,1550,1520,
,26/12/2016,46,Fine,1470,1550,1520,
,27/12/2016,45,Fine,1470,1550,1520,
,28/12/2016,50,Fine,1470,1550,1520,
,29/12/2016,55,Fine,1470,1550,1520,
,30/12/2016,45,Fine,1470,1550,1520,
,31/12/2016,40,Fine,1470,1550,1520,
Bolpur,01/12/2016,128,Common,1100,1200,1150,
,,,Paddy fine,1050,1100,1080,
,02/12/2016,126,Common,1100,1200,1150,
,,,Paddy fine,1050,1100,1080,
,03/12/2016,126,Common,1100,1200,1150,
,,,Paddy fine,1050,1100,1080,
,04/12/2016,126,Common,1100,1200,1150,
,,,Paddy fine,1050,1100,1080,
,05/12/2016,124,Common,1100,1200,1150,
,,,Paddy fine,1050,1100,1080,
,06/12/2016,120,Common,1100,1200,1150,
,,,Paddy fine,1050,1100,1080,
,07/12/2016,124,Common,1100,1200,1150,
,,,Paddy fine,1050,1100,1080,
,08/12/2016,124,Common,1100,1200,1150,
,,,Paddy fine,1050,1100,1080,
,09/12/2016,124,Common,1100,1200,1150,
,,,Paddy fine,1050,1100,1080,
,10/12/2016,123,Common,1100,1200,1150,
,,,Paddy fine,1050,1100,1080,
,11/12/2016,126,Common,1100,1170,1150,
,,,Paddy fine,1050,1100,1080,
,12/12/2016,126,Common,1100,1170,1150,
,,,Paddy fine,1050,1100,1080,
,13/12/2016,126,Common,1100,1170,1150,
,,,Paddy fine,1050,1100,1080,
,14/12/2016,126,Common,1100,1170,1150,
,,,Paddy fine,1050,1100,1080,
,15/12/2016,126,Common,1100,1150,1120,
,,,Paddy fine,1050,1100,1080,
,16/12/2016,127,Common,1040,1080,1060,
,,,Paddy fine,1020,1080,1050,
,17/12/2016,127,Common,1040,1080,1060,
,,,Paddy fine,1020,1080,1050,
,18/12/2016,127,Common,1040,1100,1060,
,,,Paddy fine,1030,1080,1050,
,19/12/2016,127,Common,1030,1080,1050,
,,,Paddy fine,1050,1100,1080,
,20/12/2016,127,Common,1050,1100,1080,
,,,Paddy fine,1030,1080,1050,
,21/12/2016,127,Common,1030,1080,1050,
,,,Paddy fine,1050,1100,1080,
,22/12/2016,127,Common,1050,1100,1080,
,,,Paddy fine,1030,1080,1050,
,23/12/2016,127,Common,1050,1100,1080,
,,,Paddy fine,1030,1080,1050,
,24/12/2016,127,Common,1050,1100,1080,
,,,Paddy fine,1030,1080,1050,
,25/12/2016,127,Common,1050,1100,1080,
,,,Paddy fine,1030,1080,1050,
,26/12/2016,127,Common,1050,1100,1080,
,,,Paddy fine,1030,1080,1050,
,27/12/2016,127,Common,1050,1100,1080,
,,,Paddy fine,1030,1080,1050,
,28/12/2016,127,Common,1050,1100,1080,
