Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Balurghat,16/10/2016,28,Common,1450,1480,1460,
,17/10/2016,30,Common,1450,1470,1460,
,20/10/2016,35,Common,1520,1550,1530,
Bankura Sadar,03/10/2016,12,Common,1380,1430,1410,
,04/10/2016,12,Common,1380,1430,1410,
,06/10/2016,12,Common,1380,1430,1410,
,27/10/2016,12,Common,1400,1430,1420,
Baxirhat,04/10/2016,210,Paddy Coarse,1250,1350,1300,
,07/10/2016,230,Paddy Coarse,1250,1350,1300,
,14/10/2016,220,Swarna Masuri (OLD),1250,1350,1300,
,18/10/2016,230,Swarna Masuri (OLD),1250,1350,1300,
,22/10/2016,250,Swarna Masuri (OLD),1250,1350,1300,
,28/10/2016,240,Swarna Masuri (OLD),1250,1350,1300,
Belacoba,01/10/2016,5,Common,1250,1350,1300,
,08/10/2016,7,Common,1250,1350,1300,
,12/10/2016,5,Common,1250,1350,1300,
,15/10/2016,3,Common,1250,1350,1300,
,19/10/2016,6,Common,1250,1350,1300,
,29/10/2016,7,Common,1200,1300,1250,
Birbhum,01/10/2016,164,Common,1370,1390,1380,
,02/10/2016,165,Common,1370,1390,1380,
,03/10/2016,166,Common,1370,1390,1380,
,05/10/2016,167,Common,1370,1390,1380,
,06/10/2016,165,Common,1380,1400,1390,
,07/10/2016,163,Common,1380,1400,1390,
,10/10/2016,162,Common,1380,1400,1390,
,11/10/2016,160,Common,1390,1410,1400,
,12/10/2016,162,Common,1390,1410,1400,
,13/10/2016,160,Common,1390,1410,1400,
,14/10/2016,158,Common,1390,1410,1400,
,15/10/2016,157,Common,1390,1410,1400,
,16/10/2016,156,Common,1390,1410,1400,
,17/10/2016,155,Common,1385,1415,1400,
,18/10/2016,158,Common,1380,1410,1390,
,19/10/2016,156,Common,1390,1410,1400,
,22/10/2016,152,Common,1390,1410,1400,
,23/10/2016,154,Common,1390,1410,1400,
,24/10/2016,153.5,Common,1380,1410,1400,
,25/10/2016,152,Common,1380,1420,1400,
,27/10/2016,150,Common,1390,1420,1400,
,28/10/2016,151,Common,1390,1410,1400,
,31/10/2016,153,Common,1380,1400,1390,
Bishnupur(Bankura),01/10/2016,13,Fine,1450,1550,1500,
,02/10/2016,12,Fine,1450,1550,1500,
,03/10/2016,13,Fine,1450,1550,1500,
,04/10/2016,12,Fine,1450,1550,1500,
,05/10/2016,13,Fine,1450,1550,1500,
,06/10/2016,11,Fine,1450,1550,1500,
,07/10/2016,15,Fine,1450,1550,1500,
,08/10/2016,10,Fine,1450,1550,1500,
,09/10/2016,10,Fine,1450,1550,1500,
,10/10/2016,12,Fine,1450,1550,1500,
,11/10/2016,10,Fine,1450,1550,1500,
,12/10/2016,15,Fine,1450,1550,1500,
,13/10/2016,11,Fine,1450,1550,1500,
,14/10/2016,13,Fine,1450,1550,1500,
,15/10/2016,15,Fine,1450,1550,1500,
,16/10/2016,15,Fine,1450,1550,1500,
,17/10/2016,26,Fine,1450,1550,1500,
,18/10/2016,38,Fine,1450,1550,1500,
,19/10/2016,22.5,Fine,1550,1650,1600,
,20/10/2016,13,Fine,1450,1550,1500,
,21/10/2016,28,Fine,1450,1550,1500,
,22/10/2016,22,Fine,1450,1550,1500,
,23/10/2016,20,Fine,1450,1550,1500,
,24/10/2016,30,Fine,1450,1550,1500,
,25/10/2016,30,Fine,1450,1550,1500,
,26/10/2016,25,Fine,1450,1550,1500,
,27/10/2016,45,Fine,1450,1550,1500,
,28/10/2016,25,Fine,1450,1550,1500,
,29/10/2016,20,Fine,1450,1550,1500,
,30/10/2016,20,Fine,1450,1550,1500,
,31/10/2016,25,Fine,1450,1550,1500,
Bolpur,01/10/2016,150,Common,1400,1420,1410,
,,,Paddy fine,1400,1420,1410,
,02/10/2016,150,Common,1400,1420,1410,
,,,Paddy fine,1400,1420,1410,
,03/10/2016,150,Common,1400,1430,1410,
,,,Paddy fine,1400,1430,1410,
,04/10/2016,150,Common,1400,1430,1410,
,,,Paddy fine,1400,1430,1410,
,05/10/2016,150,Common,1390,1420,1410,
,,,Paddy fine,1390,1420,1410,
,06/10/2016,150,Common,1390,1420,1410,
,,,Paddy fine,1390,1420,1410,
,07/10/2016,150,Common,1390,1420,1410,
,,,Paddy fine,1390,1420,1410,
,08/10/2016,150,Common,1390,1420,1410,
,,,Paddy fine,1390,1420,1410,
,10/10/2016,150,Common,1390,1420,1410,
,,,Paddy fine,1390,1420,1410,
,11/10/2016,150,Common,1390,1420,1410,
,,,Paddy fine,1390,1420,1410,
,12/10/2016,150,Common,1390,1420,1410,
,,,Paddy fine,1390,1420,1410,
,13/10/2016,150,Common,1390,1420,1410,
,,,Paddy fine,1390,1420,1410,
,14/10/2016,150,Common,1390,1420,1410,
,,,Paddy fine,1390,1420,1410,
,15/10/2016,150,Common,1390,1420,1410,
,,,Paddy fine,1390,1420,1410,
,16/10/2016,150,Common,1390,1420,1410,
,,,Paddy fine,1390,1420,1410,
,17/10/2016,148,Common,1400,1430,1420,
,,,Paddy fine,1400,1430,1420,
,18/10/2016,148,Common,1400,1430,1420,
,,,Paddy fine,1400,1430,1420,
,19/10/2016,148,Common,1400,1430,1420,
,,,Paddy fine,1400,1430,1420,
,20/10/2016,148,Common,1400,1430,1420,
,,,Paddy fine,1400,1430,1420,
,21/10/2016,148,Common,1400,1430,1420,
,,,Paddy fine,1400,1430,1420,
,22/10/2016,148,Common,1390,1430,1410,
,,,Paddy fine,1390,1430,1410,
,23/10/2016,148,Common,1390,1430,1410,
,,,Paddy fine,1390,1430,1410,
,24/10/2016,148,Common,1390,1420,1410,
,,,Paddy fine,1390,1420,1410,
,25/10/2016,148,Common,1390,1420,1410,
,,,Paddy fine,1390,1420,1410,
,26/10/2016,148,Common,1390,1430,1410,
,,,Paddy fine,1390,1430,1410,
,27/10/2016,148,Common,1390,1430,1410,
,,,Paddy fine,1390,1430,1410,
,28/10/2016,148,Common,1390,1430,1410,
,,,Paddy fine,1390,1430,1410,
,29/10/2016,148,Common,1390,1430,1410,
,,,Paddy fine,1390,1430,1410,
,30/10/2016,148,Common,1390,1430,1410,
,,,Paddy fine,1390,1430,1410,
,31/10/2016,145,Common,1390,1430,1410,
,,,Paddy fine,1390,1430,1410,
Burdwan,01/10/2016,470, ,NR,NR,NR,
,03/10/2016,450,Common,1540,1570,1554,
,,,Fine,1540,1570,1554,
,04/10/2016,480,Common,1540,1570,1554,
,,,Fine,1540,1570,1554,
,05/10/2016,496,Common,1532,1560,1546,
,,,Fine,1532,1560,1546,
,06/10/2016,470,Common,1532,1560,1546,
,,,Fine,1532,1560,1546,
,07/10/2016,445,Common,1532,1560,1546,
,,,Fine,1532,1560,1546,
,12/10/2016,275,Common,1532,1560,1546,
,,,Fine,1532,1560,1546,
,13/10/2016,268,Common,1532,1560,1546,
,,,Fine,1532,1560,1546,
,14/10/2016,294,Common,1532,1560,1546,
,,,Fine,1532,1560,1546,
,15/10/2016,287,Common,1532,1560,1546,
,,,Fine,1532,1560,1546,
,17/10/2016,316,Common,1532,1560,1546,
,,,Fine,1532,1560,1546,
,18/10/2016,362,Common,1540,1568,1554,
,,,Fine,1530,1560,1545,
,19/10/2016,375,Common,1540,1568,1554,
,,,Fine,1520,1550,1535,
,20/10/2016,364,Common,1540,1568,1554,
,,,Fine,1530,1560,1545,
,21/10/2016,385,Common,1540,1568,1554,
,,,Fine,1530,1560,1545,
,22/10/2016,376,Common,1540,1568,1554,
,,,Fine,1530,1560,1545,
,24/10/2016,382,Common,1540,1568,1554,
,,,Fine,1530,1560,1545,
,25/10/2016,395,Common,1540,1568,1554,
,,,Fine,1530,1560,1545,
,26/10/2016,405,Common,1540,1568,1554,
,,,Fine,1530,1560,1545,
,27/10/2016,380,Common,1540,1568,1554,
,,,Fine,1530,1560,1545,
,28/10/2016,392,Common,1540,1568,1554,
,,,Fine,1530,1560,1545,
,29/10/2016,225, ,NR,NR,NR,
,31/10/2016,210, ,NR,NR,NR,
