Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bankura Sadar,01/04/2017,11,Common,1270,1310,1290,
,03/04/2017,11,Common,1270,1320,1300,
,04/04/2017,12,Common,1270,1320,1300,
,05/04/2017,11,Common,1270,1320,1300,
,06/04/2017,10,Common,1270,1320,1300,
,07/04/2017,12,Common,1270,1320,1300,
,09/04/2017,11,Common,1280,1320,1300,
,10/04/2017,12,Common,1280,1320,1300,
,11/04/2017,13,Common,1270,1320,1300,
,12/04/2017,8,Common,1270,1320,1300,
,14/04/2017,10,Common,1270,1320,1300,
,15/04/2017,7,Common,1270,1320,1300,
,17/04/2017,12,Common,1270,1320,1300,
,18/04/2017,11,Common,1270,1320,1300,
,19/04/2017,10,Common,1300,1360,1330,
,20/04/2017,8,Common,1300,1360,1330,
,21/04/2017,10,Common,1300,1360,1330,
,23/04/2017,10,Common,1300,1350,1330,
,24/04/2017,12,Common,1300,1350,1330,
,25/04/2017,10,Common,1300,1350,1330,
,26/04/2017,12,Common,1300,1350,1330,
Baxirhat,04/04/2017,240,Swarna Masuri (OLD),1300,1400,1350,
,07/04/2017,240,Swarna Masuri (OLD),1300,1400,1350,
,13/04/2017,245,Swarna Masuri (OLD),1300,1400,1350,
,18/04/2017,250,Swarna Masuri (OLD),1300,1400,1350,
,21/04/2017,240,Swarna Masuri (OLD),1300,1400,1350,
,25/04/2017,260,Swarna Masuri (OLD),1300,1400,1350,
,28/04/2017,250,Swarna Masuri (OLD),1300,1400,1350,
Belacoba,05/04/2017,5,Common,1300,1350,1325,
,08/04/2017,5,Common,1325,1375,1350,
,12/04/2017,5,Common,1325,1370,1350,
,19/04/2017,5,Common,1325,1380,1350,
,26/04/2017,4,Common,1350,1400,1375,
Birbhum,01/04/2017,118,Common,1300,1320,1310,
,02/04/2017,119,Common,1300,1320,1310,
,03/04/2017,118,Common,1310,1330,1320,
,04/04/2017,114,Swarna Masuri (New),1320,1340,1330,
,05/04/2017,113.85,Swarna Masuri (New),1320,1340,1330,
,06/04/2017,112,Swarna Masuri (New),1330,1350,1340,
,08/04/2017,113.3,Swarna Masuri (New),1320,1340,1330,
,09/04/2017,113.5,Swarna Masuri (New),1320,1340,1330,
,10/04/2017,110,Swarna Masuri (New),1330,1350,1340,
,11/04/2017,110.2,Swarna Masuri (New),1330,1350,1340,
,12/04/2017,108,Swarna Masuri (New),1330,1350,1345,
,13/04/2017,109,Swarna Masuri (New),1330,1350,1340,
,14/04/2017,109.5,Swarna Masuri (New),1330,1350,1340,
,15/04/2017,110,Swarna Masuri (New),1330,1350,1340,
,16/04/2017,109,Swarna Masuri (New),1330,1350,1340,
,17/04/2017,105,Swarna Masuri (New),1340,1360,1350,
,18/04/2017,104,Swarna Masuri (New),1340,1360,1350,
,19/04/2017,104,Swarna Masuri (New),1350,1370,1360,
,20/04/2017,100,Swarna Masuri (New),1350,1370,1360,
,21/04/2017,100.2,Swarna Masuri (New),1350,1370,1360,
,22/04/2017,100,Swarna Masuri (New),1360,1380,1370,
,24/04/2017,99,Swarna Masuri (New),1370,1390,1380,
,26/04/2017,101,Swarna Masuri (New),1370,1390,1380,
