Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Balurghat,09/01/2017,50,Common,1100,1200,1150,
Bankura Sadar,06/01/2017,10,Common,1100,1130,1100,
,11/01/2017,12,Common,1080,1150,1130,
,12/01/2017,15,Common,1080,1130,1100,
,13/01/2017,12,Common,1100,1150,1120,
,17/01/2017,14,Common,1080,1140,1110,
,18/01/2017,15,Common,1080,1120,1100,
,20/01/2017,14,Common,1100,1180,1150,
,21/01/2017,12,Common,1100,1180,1150,
,22/01/2017,15,Common,1100,1180,1150,
,23/01/2017,14,Common,1120,1180,1160,
,24/01/2017,15,Common,1120,1180,1160,
,25/01/2017,15,Common,1100,1180,1140,
,26/01/2017,14,Common,1100,1180,1140,
,27/01/2017,16,Common,1100,1180,1140,
Baxirhat,03/01/2017,220,Swarna Masuri (New),1050,1150,1100,
,13/01/2017,190,Swarna Masuri (New),1050,1150,1100,
,17/01/2017,210,Swarna Masuri (New),1050,1200,1150,
,20/01/2017,230,Swarna Masuri (New),1100,1200,1150,
,24/01/2017,210,Swarna Masuri (New),1100,1200,1150,
,27/01/2017,220,Swarna Masuri (New),1150,1250,1200,
,31/01/2017,240,Swarna Masuri (New),1150,1250,1200,
Belacoba,04/01/2017,15,Common,980,1025,1000,
,14/01/2017,14,Common,950,1050,1000,
,18/01/2017,14,Common,950,1050,1000,
,21/01/2017,10,Common,950,1050,1000,
,25/01/2017,14,Common,1100,1200,1150,
,28/01/2017,12,Common,1100,1200,1150,
Birbhum,01/01/2017,119.4,Swarna Masuri (New),1030,1050,1040,
,02/01/2017,119,Swarna Masuri (New),1030,1050,1040,
,03/01/2017,118.5,Swarna Masuri (New),1030,1050,1040,
,04/01/2017,119,Swarna Masuri (New),1035,1055,1045,
,06/01/2017,118.9,Swarna Masuri (New),1040,1060,1050,
,07/01/2017,118,Swarna Masuri (New),1050,1070,1060,
,08/01/2017,117.5,Swarna Masuri (New),1050,1075,1065,
,10/01/2017,118,Swarna Masuri (New),1050,1070,1060,
,11/01/2017,117.8,Swarna Masuri (New),1055,1070,1065,
,12/01/2017,117.65,Swarna Masuri (New),1055,1075,1065,
,13/01/2017,117.64,Swarna Masuri (New),1060,1075,1070,
,14/01/2017,117.2,Swarna Masuri (New),1060,1080,1070,
,15/01/2017,117,Swarna Masuri (New),1055,1075,1065,
,17/01/2017,116,Swarna Masuri (New),1060,1080,1070,
,18/01/2017,117.3,Swarna Masuri (New),1060,1080,1070,
,19/01/2017,117.31,Swarna Masuri (New),1060,1085,1070,
,20/01/2017,117.7,Swarna Masuri (New),1060,1080,1070,
,22/01/2017,118,Swarna Masuri (New),1060,1080,1070,
,23/01/2017,119,Swarna Masuri (New),1060,1080,1070,
,24/01/2017,117,Swarna Masuri (New),1075,1100,1085,
,25/01/2017,117.4,Swarna Masuri (New),1070,1095,1080,
,26/01/2017,118.1,Swarna Masuri (New),1070,1090,1080,
,27/01/2017,118,Swarna Masuri (New),1070,1090,1080,
,29/01/2017,117.4,Swarna Masuri (New),1075,1100,1085,
,30/01/2017,117.7,Swarna Masuri (New),1075,1095,1085,
,31/01/2017,118.2,Swarna Masuri (New),1075,1095,1085,
Bishnupur(Bankura),01/01/2017,35,Fine,1470,1550,1520,
,02/01/2017,50,Fine,1470,1550,1520,
,03/01/2017,60,Fine,1470,1550,1520,
,04/01/2017,50,Fine,1450,1550,1500,
,05/01/2017,55,Fine,1400,1500,1450,
,06/01/2017,50,Fine,1400,1500,1450,
,07/01/2017,40,Fine,1400,1500,1450,
,08/01/2017,40,Fine,1400,1500,1450,
,09/01/2017,76,Fine,1400,1500,1450,
,10/01/2017,80,Fine,1400,1500,1450,
,11/01/2017,62,Fine,1400,1500,1450,
,12/01/2017,55,Fine,1400,1500,1450,
,13/01/2017,120,Fine,1400,1500,1450,
,14/01/2017,90,Fine,1400,1500,1450,
,15/01/2017,55,Fine,1400,1500,1450,
,16/01/2017,105,Fine,1400,1500,1450,
,17/01/2017,85,Fine,1400,1500,1450,
,18/01/2017,45,Fine,1400,1500,1450,
,19/01/2017,50,Fine,1400,1500,1450,
,20/01/2017,45,Fine,1400,1500,1450,
,21/01/2017,55,Fine,1400,1500,1450,
,22/01/2017,30,Fine,1400,1500,1450,
,23/01/2017,45,Fine,1400,1500,1450,
,24/01/2017,92,Fine,1400,1500,1450,
,25/01/2017,85,Fine,1400,1500,1450,
,26/01/2017,45,Fine,1400,1500,1450,
,27/01/2017,65,Fine,1400,1500,1450,
,28/01/2017,75,Fine,1400,1500,1450,
,29/01/2017,35,Fine,1400,1500,1450,
,30/01/2017,55,Fine,1400,1500,1450,
,31/01/2017,50,Fine,1400,1500,1450,
Bolpur,01/01/2017,127,Common,1050,1100,1080,
,,,Paddy fine,1030,1080,1060,
,02/01/2017,127,Common,1050,1100,1080,
,,,Paddy fine,1030,1080,1060,
,03/01/2017,127,Common,1050,1100,1080,
,,,Paddy fine,1030,1080,1060,
,04/01/2017,127,Common,1050,1100,1080,
,,,Paddy fine,1030,1080,1060,
,05/01/2017,127,Common,1050,1100,1080,
,,,Paddy fine,1030,1080,1060,
,06/01/2017,126,Common,1050,1100,1080,
,,,Paddy fine,1030,1080,1060,
,07/01/2017,126,Common,1050,1100,1080,
,,,Paddy fine,1030,1080,1060,
,08/01/2017,126,Common,1050,1100,1080,
,,,Paddy fine,1030,1080,1060,
,09/01/2017,126,Common,1050,1100,1080,
,,,Paddy fine,1040,1100,1070,
,10/01/2017,126,Common,1050,1100,1080,
,,,Paddy fine,1030,1080,1060,
,11/01/2017,126,Common,1050,1120,1100,
,,,Paddy fine,1060,1100,1080,
,12/01/2017,126,Common,1050,1120,1100,
,,,Paddy fine,1060,1100,1080,
,13/01/2017,126,Common,1050,1120,1100,
,,,Paddy fine,1060,1100,1080,
,14/01/2017,127,Common,1050,1120,1100,
,,,Paddy fine,1060,1100,1080,
,15/01/2017,127,Common,1050,1100,1080,
