Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bankura Sadar,01/06/2017,8,Common,1340,1380,1360,
,02/06/2017,10,Common,1350,1400,1380,
,05/06/2017,11,Common,1360,1400,1380,
,06/06/2017,10,Common,1360,1400,1380,
,07/06/2017,11,Common,1360,1400,1380,
,08/06/2017,8,Common,1360,1400,1380,
,09/06/2017,10,Common,1380,1420,1400,
,10/06/2017,9,Common,1380,1420,1400,
,12/06/2017,10,Common,1380,1420,1400,
,13/06/2017,10,Common,1380,1420,1400,
,14/06/2017,8,Common,1380,1420,1400,
,18/06/2017,8,Common,1400,1440,1420,
,19/06/2017,10,Common,1400,1440,1420,
,20/06/2017,10,Common,1400,1440,1420,
,21/06/2017,10,Common,1400,1440,1420,
,22/06/2017,10,Common,1400,1440,1420,
,23/06/2017,10,Common,1420,1460,1440,
,24/06/2017,10,Common,1420,1460,1440,
,25/06/2017,9,Common,1420,1460,1440,
,26/06/2017,8,Common,1420,1460,1440,
,27/06/2017,10,Common,1420,1480,1440,
,28/06/2017,10,Common,1410,1450,1430,
,29/06/2017,10,Common,1420,1460,1440,
Baxirhat,02/06/2017,260,Swarna Masuri (OLD),1300,1400,1350,
,09/06/2017,270,Swarna Masuri (OLD),1300,1400,1350,
,20/06/2017,270,Swarna Masuri (OLD),1300,1400,1350,
,23/06/2017,270,Swarna Masuri (OLD),1300,1400,1350,
,27/06/2017,250,Swarna Masuri (OLD),1300,1400,1350,
Belacoba,03/06/2017,3,Common,1350,1450,1380,
,07/06/2017,3,Common,1360,1470,1410,
,10/06/2017,3,Common,1350,1410,1380,
,14/06/2017,3,Common,1370,1470,1420,
,17/06/2017,3,Common,1360,1470,1410,
Birbhum,01/06/2017,105,Swarna Masuri (OLD),1460,1490,1470,
,02/06/2017,105,Swarna Masuri (OLD),1460,1490,1470,
,03/06/2017,105,Swarna Masuri (OLD),1460,1490,1470,
,04/06/2017,110,Swarna Masuri (OLD),1460,1490,1470,
,07/06/2017,110,Swarna Masuri (OLD),1460,1490,1470,
,08/06/2017,145,Swarna Masuri (OLD),1460,1490,1470,
,09/06/2017,110,Swarna Masuri (OLD),1460,1490,1470,
,10/06/2017,110,Swarna Masuri (OLD),1460,1490,1470,
,11/06/2017,115,Swarna Masuri (OLD),1460,1490,1470,
,12/06/2017,115,Swarna Masuri (OLD),1460,1490,1470,
,13/06/2017,115,Swarna Masuri (OLD),1460,1490,1470,
,14/06/2017,115,Swarna Masuri (OLD),1460,1490,1470,
,15/06/2017,110,Swarna Masuri (OLD),1460,1490,1470,
,16/06/2017,110,Swarna Masuri (OLD),1460,1490,1470,
,17/06/2017,110,Swarna Masuri (OLD),1460,1490,1470,
,18/06/2017,110,Swarna Masuri (OLD),1460,1490,1470,
,19/06/2017,110,Swarna Masuri (OLD),1460,1490,1470,
,20/06/2017,110,Swarna Masuri (OLD),1460,1490,1470,
,21/06/2017,110,Swarna Masuri (OLD),1460,1490,1470,
,22/06/2017,110,Swarna Masuri (OLD),1460,1490,1470,
,23/06/2017,110,Swarna Masuri (OLD),1460,1490,1480,
,24/06/2017,115,Swarna Masuri (OLD),1460,1490,1480,
,25/06/2017,110,Swarna Masuri (OLD),1470,1490,1480,
,26/06/2017,110,Swarna Masuri (OLD),1470,1490,1480,
,27/06/2017,110,Swarna Masuri (OLD),1470,1490,1480,
,28/06/2017,110,Swarna Masuri (OLD),1470,1490,1480,
,29/06/2017,110,Swarna Masuri (OLD),1470,1490,1480,
,30/06/2017,110,Swarna Masuri (OLD),1470,1500,1490,
Bishnupur(Bankura),01/06/2017,28,Fine,1320,1360,1340,
,02/06/2017,17,Fine,1320,1360,1340,
,03/06/2017,18,Fine,1320,1360,1340,
,04/06/2017,20,Fine,1320,1360,1340,
,05/06/2017,35,Fine,1320,1360,1340,
,06/06/2017,33,Fine,1320,1360,1340,
,07/06/2017,30,Fine,1320,1360,1340,
,08/06/2017,25,Fine,1320,1360,1340,
,09/06/2017,35,Fine,1320,1360,1340,
,10/06/2017,22,Fine,1320,1360,1340,
,11/06/2017,20,Fine,1320,1360,1340,
,12/06/2017,35,Fine,1320,1360,1340,
,13/06/2017,30,Fine,1320,1360,1340,
,14/06/2017,32,Fine,1320,1360,1340,
,15/06/2017,30,Fine,1320,1360,1340,
,16/06/2017,35,Fine,1320,1360,1340,
,17/06/2017,25,Fine,1300,1350,1330,
,18/06/2017,20,Fine,1300,1350,1330,
,19/06/2017,30,Fine,1300,1350,1330,
,20/06/2017,28,Fine,1300,1350,1330,
,21/06/2017,27,Fine,1300,1350,1330,
,22/06/2017,35,Fine,1300,1350,1330,
,23/06/2017,30,Fine,1300,1350,1330,
,24/06/2017,22,Fine,1300,1350,1330,
,25/06/2017,18,Fine,1300,1350,1330,
,26/06/2017,20,Fine,1300,1350,1330,
,27/06/2017,33,Fine,1320,1360,1340,
,28/06/2017,30,Fine,1320,1360,1340,
,29/06/2017,28,Fine,1330,1370,1350,
,30/06/2017,30,Fine,1330,1370,1350,
Bolpur,01/06/2017,176,Common,1450,1490,1460,
,,,Paddy fine,1220,1280,1260,
,02/06/2017,176,Common,1450,1490,1460,
,,,Paddy fine,1220,1280,1250,
,03/06/2017,175,Common,1450,1490,1460,
,,,Paddy fine,1220,1280,1260,
,04/06/2017,175,Common,1450,1490,1460,
,,,Paddy fine,1220,1280,1260,
,07/06/2017,175,Common,1220,1280,1260,
,,,Paddy fine,1450,1490,1460,
,08/06/2017,175,Common,1450,1490,1460,
,,,Paddy fine,1250,1300,1280,
,09/06/2017,175,Common,1250,1300,1280,
,,,Paddy fine,1450,1490,1460,
,10/06/2017,175,Common,1450,1490,1460,
,,,Paddy fine,1250,1300,1280,
,11/06/2017,175,Common,1450,1490,1460,
,,,Paddy fine,1250,1300,1280,
,12/06/2017,175,Common,1450,1490,1460,
,,,Paddy fine,1250,1300,1280,
,13/06/2017,175,Common,1450,1490,1460,
,,,Paddy fine,1250,1300,1280,
,14/06/2017,175,Common,1450,1490,1460,
,,,Paddy fine,1250,1300,1280,
,15/06/2017,170,Common,1450,1490,1460,
,,,Paddy fine,1250,1300,1280,
,16/06/2017,170,Common,1250,1300,1280,
,,,Paddy fine,1450,1490,1460,
,17/06/2017,170,Common,1450,1490,1460,
,,,Paddy fine,1250,1300,1280,
,18/06/2017,175,Common,1450,1490,1460,
,,,Paddy fine,1250,1300,1280,
,19/06/2017,175,Common,1450,1490,1460,
,,,Paddy fine,1250,1300,1280,
,20/06/2017,175,Common,1450,1490,1460,
,,,Paddy fine,1250,1300,1280,
,21/06/2017,175,Common,1450,1490,1460,
,,,Paddy fine,1250,1300,1280,
,22/06/2017,175,Common,1450,1490,1460,
,,,Paddy fine,1250,1300,1280,
,23/06/2017,170,Common,1450,1490,1470,
,,,Paddy fine,1250,1300,1290,
,24/06/2017,170,Common,1450,1490,1470,
,,,Paddy fine,1250,1300,1290,
,25/06/2017,170,Common,1450,1490,1470,
,,,Paddy fine,1250,1320,1290,
,26/06/2017,160,Common,1450,1490,1470,
,,,Paddy fine,1250,1320,1290,
,27/06/2017,160,Common,1450,1490,1470,
,,,Paddy fine,1250,1320,1290,
,28/06/2017,160,Common,1450,1490,1470,
,,,Paddy fine,1250,1320,1290,
,29/06/2017,165,Common,1450,1490,1470,
,,,Paddy fine,1250,1320,1290,
,30/06/2017,165,Common,1250,1320,1300,
,,,Paddy fine,1450,1510,1480,
Burdwan,01/06/2017,768,Common,1544,1572,1558,
,,,Fine,1412,1440,1426,
,02/06/2017,775,Common,1544,1572,1558,
,,,Fine,1412,1440,1426,
,03/06/2017,782,Common,1532,1560,1546,
,,,Fine,1410,1440,1426,
,05/06/2017,764,Common,1532,1560,1546,
,,,Fine,1410,1440,1426,
,06/06/2017,776,Common,1532,1560,1546,
,,,Fine,1410,1440,1426,
,07/06/2017,780,Common,1554,1582,1568,
,,,Fine,1390,1420,1405,
,08/06/2017,764,Common,1554,1582,1568,
,,,Fine,1390,1420,1405,
,09/06/2017,782,Common,1554,1582,1568,
,,,Fine,1390,1420,1405,
,10/06/2017,790,Common,1554,1582,1568,
,,,Fine,1390,1420,1405,
,12/06/2017,778,Common,1554,1582,1568,
,,,Fine,1390,1420,1405,
,13/06/2017,785,Common,1542,1570,1556,
,,,Fine,1390,1420,1405,
,14/06/2017,758,Common,1542,1570,1556,
