Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bankura Sadar,01/03/2017,14,Common,1250,1310,1280,
,02/03/2017,13,Common,1250,1310,1280,
,03/03/2017,12,Common,1250,1310,1280,
,04/03/2017,12,Common,1250,1310,1280,
,07/03/2017,14,Common,1260,1300,1280,
,08/03/2017,15,Common,1260,1300,1280,
,09/03/2017,14,Common,1260,1300,1280,
,10/03/2017,14,Common,1260,1300,1280,
,11/03/2017,13,Common,1260,1300,1280,
,13/03/2017,12,Common,1260,1300,1280,
,14/03/2017,12,Common,1250,1290,1270,
,15/03/2017,13,Common,1250,1290,1270,
,16/03/2017,10,Common,1230,1270,1250,
,17/03/2017,14,Common,1230,1270,1250,
,20/03/2017,12,Common,1260,1300,1280,
,21/03/2017,13,Common,1260,1300,1280,
,22/03/2017,14,Common,1260,1300,1280,
,23/03/2017,15,Common,1260,1300,1280,
,24/03/2017,13,Common,1250,1300,1270,
,25/03/2017,13,Common,1250,1300,1270,
,27/03/2017,13,Common,1260,1300,1280,
,28/03/2017,12,Common,1260,1300,1280,
,29/03/2017,12,Common,1260,1300,1280,
,30/03/2017,8,Common,1270,1310,1290,
,31/03/2017,10,Common,1270,1310,1290,
Baxirhat,03/03/2017,260, ,NR,NR,NR,
,07/03/2017,260, ,NR,NR,NR,
,10/03/2017,260,Swarna Masuri (New),1300,1400,1350,
,14/03/2017,260, ,NR,NR,NR,
,17/03/2017,240, ,NR,NR,NR,
,21/03/2017,250, ,NR,NR,NR,
,24/03/2017,260, ,NR,NR,NR,
,28/03/2017,260, ,NR,NR,NR,
,31/03/2017,260, ,NR,NR,NR,
Belacoba,01/03/2017,12,Common,1200,1250,1225,
,04/03/2017,10,Common,1200,1250,1225,
,08/03/2017,10,Common,1250,1300,1275,
,15/03/2017,8,Common,1250,1300,1275,
,18/03/2017,8,Common,1250,1300,1275,
,22/03/2017,8,Common,1250,1300,1275,
,25/03/2017,6,Common,1300,1350,1325,
,29/03/2017,5,Common,1300,1350,1325,
Birbhum,01/03/2017,113,Swarna Masuri (New),1230,1250,1240,
Bishnupur(Bankura),01/03/2017,45,Fine,1460,1520,1480,
,02/03/2017,30,Fine,1460,1520,1480,
,03/03/2017,25,Fine,1450,1520,1480,
,04/03/2017,30,Fine,1450,1520,1480,
,05/03/2017,30,Fine,1450,1520,1480,
,06/03/2017,30,Fine,1450,1520,1480,
,07/03/2017,35,Fine,1450,1520,1480,
,08/03/2017,30,Fine,1450,1520,1490,
,09/03/2017,28,Fine,1450,1520,1490,
,10/03/2017,36,Fine,1450,1520,1490,
,11/03/2017,33,Fine,1450,1520,1490,
,12/03/2017,25,Fine,1450,1520,1490,
,13/03/2017,35,Fine,1450,1520,1490,
,14/03/2017,37,Fine,1450,1520,1490,
,15/03/2017,35,Fine,1450,1520,1490,
,16/03/2017,32,Fine,1450,1520,1490,
,17/03/2017,30,Fine,1450,1520,1490,
,18/03/2017,25,Fine,1450,1520,1490,
,19/03/2017,40,Fine,1450,1520,1490,
,20/03/2017,35,Fine,1450,1520,1490,
,21/03/2017,32,Fine,1450,1520,1490,
,22/03/2017,34,Fine,1450,1520,1490,
,23/03/2017,32,Fine,1450,1520,1490,
,24/03/2017,35,Fine,1450,1520,1490,
,25/03/2017,28,Fine,1450,1520,1490,
,26/03/2017,28,Fine,1450,1520,1490,
,27/03/2017,30,Fine,1450,1520,1490,
,28/03/2017,35,Fine,1450,1520,1490,
,29/03/2017,25,Fine,1450,1520,1490,
,30/03/2017,23,Fine,1450,1520,1490,
,31/03/2017,20,Fine,1450,1520,1490,
Bolpur,01/03/2017,125,Common,1280,1310,1290,
,,,Paddy fine,1290,1350,1340,
,02/03/2017,125,Common,1280,1310,1290,
,,,Paddy fine,1290,1350,1340,
,03/03/2017,125,Common,1280,1310,1290,
,,,Paddy fine,1290,1350,1340,
,04/03/2017,125,Common,1280,1310,1290,
,,,Paddy fine,1290,1350,1340,
,05/03/2017,125,Common,1280,1310,1290,
,,,Paddy fine,1290,1350,1340,
,06/03/2017,125,Common,1280,1310,1290,
,,,Paddy fine,1290,1350,1340,
,07/03/2017,125,Common,1310,1350,1340,
,,,Paddy fine,1310,1330,1320,
,08/03/2017,125,Common,1310,1350,1340,
,,,Paddy fine,1310,1330,1320,
,09/03/2017,125,Common,1310,1350,1340,
,,,Paddy fine,1310,1330,1320,
,11/03/2017,125,Common,1310,1350,1340,
,,,Paddy fine,1310,1330,1320,
,12/03/2017,125,Common,1310,1350,1340,
,,,Paddy fine,1310,1330,1320,
,13/03/2017,125,Common,1310,1350,1340,
,,,Paddy fine,1310,1330,1320,
,14/03/2017,125,Common,1310,1350,1340,
,,,Paddy fine,1310,1330,1320,
,15/03/2017,126,Common,1290,1320,1310,
,,,Paddy fine,1280,1310,1290,
,16/03/2017,126,Common,1320,1340,1330,
,,,Paddy fine,1290,1320,1310,
,17/03/2017,126,Common,1320,1340,1330,
,,,Paddy fine,1290,1320,1310,
,18/03/2017,126,Common,1320,1340,1330,
,,,Paddy fine,1290,1320,1310,
,19/03/2017,126,Common,1320,1340,1330,
,,,Paddy fine,1290,1320,1310,
,20/03/2017,126,Common,1320,1340,1330,
,,,Paddy fine,1290,1320,1310,
,21/03/2017,125,Common,1320,1340,1330,
,,,Paddy fine,1290,1320,1310,
,23/03/2017,122,Common,1300,1320,1310,
,,,Paddy fine,1320,1350,1340,
,24/03/2017,125,Common,1300,1320,1310,
,,,Paddy fine,1320,1350,1340,
,25/03/2017,125,Common,1300,1320,1310,
,,,Paddy fine,1320,1350,1340,
,26/03/2017,125,Common,1300,1320,1310,
