Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bankura Sadar,01/02/2018,29,Common,1480,1570,1550,
,02/02/2018,29,Common,1480,1570,1550,
,03/02/2018,30,Common,1480,1570,1550,
,05/02/2018,28,Common,1480,1570,1550,
,08/02/2018,27,Common,1500,1570,1550,
,09/02/2018,28,Common,1500,1570,1550,
,10/02/2018,28,Common,1500,1570,1550,
,12/02/2018,26,Common,1500,1570,1550,
,14/02/2018,21,Common,1500,1570,1550,
,15/02/2018,22,Common,1500,1570,1550,
,16/02/2018,28,Common,1500,1570,1550,
,17/02/2018,25,Common,1500,1570,1550,
,19/02/2018,25,Common,1500,1600,1550,
,20/02/2018,28,Common,1500,1600,1550,
,21/02/2018,29,Common,1500,1600,1550,
,22/02/2018,28,Common,1500,1600,1550,
,23/02/2018,27,Common,1500,1600,1550,
,27/02/2018,20,Common,1500,1600,1560,
,28/02/2018,23,Common,1500,1600,1560,
Baxirhat,02/02/2018,255,Swarna Masuri (New),1450,1550,1500,
,06/02/2018,250,Swarna Masuri (New),1500,1600,1550,
,09/02/2018,260,Swarna Masuri (New),1500,1600,1550,
,13/02/2018,255,Swarna Masuri (New),1550,1650,1600,
,16/02/2018,245,Swarna Masuri (New),1500,1600,1550,
,20/02/2018,245,Swarna Masuri (New),1550,1650,1600,
,23/02/2018,250,Swarna Masuri (New),1550,1650,1600,
,27/02/2018,245,Swarna Masuri (New),1550,1650,1600,
Belacoba,03/02/2018,4,Common,1450,1570,1500,
,07/02/2018,3,Common,1470,1600,1550,
,10/02/2018,3,Common,1480,1625,1550,
,14/02/2018,3,Common,1470,1580,1550,
,17/02/2018,3,Common,1550,1650,1600,
,21/02/2018,3,Common,1500,1600,1550,
,24/02/2018,3,Common,1550,1600,1575,
Birbhum,01/02/2018,175,Swarna Masuri (New),1370,1390,1380,
,02/02/2018,170,Swarna Masuri (New),1370,1390,1380,
,03/02/2018,170,Swarna Masuri (New),1370,1390,1380,
,04/02/2018,170,Swarna Masuri (New),1380,1420,1400,
,05/02/2018,170,Swarna Masuri (New),1380,1420,1400,
,06/02/2018,170,Swarna Masuri (New),1390,1420,1410,
,07/02/2018,170,Swarna Masuri (New),1380,1420,1400,
,08/02/2018,170, ,NR,NR,NR,
,09/02/2018,170,Swarna Masuri (New),1380,1420,1400,
,10/02/2018,168,Swarna Masuri (New),1380,1420,1400,
,12/02/2018,170,Swarna Masuri (New),1380,1420,1400,
,13/02/2018,170,Swarna Masuri (New),1380,1420,1400,
,14/02/2018,170, ,NR,NR,NR,
,15/02/2018,170,Swarna Masuri (New),1420,1500,1460,
,16/02/2018,165,Swarna Masuri (New),1420,1500,1460,
,17/02/2018,165,Swarna Masuri (New),1480,1520,1500,
,18/02/2018,165,Swarna Masuri (New),1480,1520,1500,
,19/02/2018,165,Swarna Masuri (New),1480,1520,1500,
,20/02/2018,165,Swarna Masuri (New),1480,1520,1500,
,21/02/2018,165,Swarna Masuri (New),1480,1520,1500,
,22/02/2018,165,Swarna Masuri (New),1480,1520,1500,
,23/02/2018,165,Swarna Masuri (New),1500,1550,1520,
,24/02/2018,165,Swarna Masuri (New),1520,1580,1550,
,25/02/2018,165,Swarna Masuri (New),1520,1580,1550,
,26/02/2018,165,Swarna Masuri (New),1520,1580,1550,
,27/02/2018,160,Swarna Masuri (New),1520,1580,1550,
Bishnupur(Bankura),01/02/2018,35,Fine,1480,1590,1570,
,02/02/2018,30,Fine,1480,1590,1570,
,03/02/2018,28,Fine,1480,1590,1570,
,04/02/2018,26,Fine,1480,1590,1570,
,05/02/2018,40,Fine,1480,1590,1570,
,06/02/2018,45,Fine,1480,1590,1570,
,07/02/2018,42,Fine,1480,1590,1570,
,08/02/2018,37,Fine,1480,1590,1570,
,09/02/2018,35,Fine,1480,1590,1570,
,10/02/2018,30,Fine,1480,1590,1570,
