Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Baxirhat,03/09/2019,235,Swarna Masuri (OLD),1700,1800,1750,
,06/09/2019,242,Swarna Masuri (OLD),1700,1800,1750,
,10/09/2019,230,Swarna Masuri (OLD),1700,1800,1750,
,13/09/2019,235,Swarna Masuri (OLD),1700,1800,1750,
,24/09/2019,240,Swarna Masuri (OLD),1700,1800,1750,
,27/09/2019,235,Swarna Masuri (OLD),1700,1800,1750,
Birbhum,01/09/2019,110,Common,1750,1770,1750,
,02/09/2019,110,Common,1750,1770,1750,
,03/09/2019,110,Common,1750,1770,1750,
,04/09/2019,110,Common,1750,1770,1750,
,05/09/2019,110,Common,1750,1770,1750,
,06/09/2019,115,Common,1750,1770,1750,
,07/09/2019,115,Common,1750,1770,1750,
,08/09/2019,110,Common,1750,1770,1750,
,09/09/2019,110,Common,1750,1770,1750,
,10/09/2019,100,Common,1750,1770,1750,
,11/09/2019,110,Common,1750,1770,1750,
,12/09/2019,110,Common,1750,1770,1750,
,13/09/2019,105,Common,1750,1770,1750,
,14/09/2019,100,Common,1750,1770,1750,
,15/09/2019,160,Common,1750,1770,1750,
,16/09/2019,110,Common,1750,1770,1750,
,17/09/2019,105,Common,1750,1770,1750,
,18/09/2019,90,Common,1750,1770,1750,
,19/09/2019,100,Common,1750,1770,1750,
,20/09/2019,90,Common,1750,1770,1750,
,21/09/2019,105,Common,1750,1770,1750,
,22/09/2019,105,Common,1750,1770,1750,
,23/09/2019,105,Common,1750,1770,1750,
,24/09/2019,100,Common,1750,1770,1750,
,25/09/2019,100,Common,1750,1770,1750,
,26/09/2019,106,Common,1750,1770,1750,
,27/09/2019,90,Common,1750,1770,1750,
,28/09/2019,102,Common,1750,1770,1750,
,29/09/2019,105,Common,1750,1770,1750,
,30/09/2019,95,Common,1750,1770,1750,
Bolpur,02/09/2019,110,Common,1750,1770,1750,
,,,Paddy fine,1400,1420,1410,
,03/09/2019,110,Common,1750,1770,1750,
,,,Paddy fine,1400,1430,1410,
,04/09/2019,115,Common,1750,1770,1750,
,,,Paddy fine,1400,1460,1450,
,05/09/2019,115, ,NR,NR,NR,
,06/09/2019,109,Common,1750,1750,1750,
,,,Paddy fine,1400,1430,1420,
,07/09/2019,116,Common,1750,1770,1750,
,,,Paddy fine,1400,1430,1420,
,08/09/2019,110,Common,1750,1770,1750,
,,,Paddy fine,1400,1420,1410,
,09/09/2019,110, ,NR,NR,NR,
,10/09/2019,100,Common,1750,1770,1750,
,,,Paddy fine,1400,1420,1410,
,11/09/2019,105,Common,1750,1770,1750,
,,,Paddy fine,1400,1420,1410,
,12/09/2019,105,Common,1750,1770,1750,
,,,Paddy fine,1400,1430,1420,
,13/09/2019,115,Common,1750,1770,1750,
,,,Paddy fine,1410,1430,1420,
,14/09/2019,110,Common,1750,1770,1750,
,,,Paddy fine,1400,1420,1410,
,15/09/2019,110,Common,1750,1770,1750,
,,,Paddy fine,1400,1420,1410,
,16/09/2019,110,Common,1750,1770,1750,
,,,Paddy fine,1420,1450,1430,
,17/09/2019,100,Common,1750,1770,1750,
,,,Paddy fine,1410,1430,1420,
,18/09/2019,95,Common,1750,1770,1750,
,,,Paddy fine,1410,1430,1420,
,19/09/2019,110, ,NR,NR,NR,
,20/09/2019,105,Common,1750,1770,1750,
,,,Paddy fine,1410,1430,1420,
,21/09/2019,105,Common,1750,1770,1750,
,,,Paddy fine,1410,1430,1420,
,22/09/2019,105,Common,1750,1770,1750,
,,,Paddy fine,1410,1430,1420,
,23/09/2019,105,Common,1750,1770,1750,
,,,Paddy fine,1410,1430,1420,
,24/09/2019,105,Common,1750,1770,1750,
,,,Paddy fine,1410,1440,1420,
,25/09/2019,105,Common,1750,1770,1750,
,,,Paddy fine,1410,1430,1420,
,26/09/2019,105,Common,1750,1770,1750,
,,,Paddy fine,1410,1430,1420,
,27/09/2019,100,Common,1750,1770,1750,
,,,Paddy fine,1410,1430,1420,
,28/09/2019,90,Common,1750,1770,1750,
,,,Paddy fine,1410,1430,1420,
,29/09/2019,90,Common,1750,1770,1750,
,,,Paddy fine,1410,1430,1420,
,30/09/2019,105,Common,1750,1770,1750,
,,,Paddy fine,1410,1430,1420,
Burdwan,02/09/2019,137,Common,1750,1770,1750,
