Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Barshi,24/04/2017,3,Other,5120,5400,5220,
Basmat,03/04/2017,113,Other,6200,8400,7000,
,04/04/2017,49,Other,6300,7800,6900,
,05/04/2017,96,Other,5800,7100,6500,
,06/04/2017,130,Other,5800,6800,6200,
,07/04/2017,43,Other,5600,7500,6500,
,08/04/2017,39,Other,5700,7200,6700,
,10/04/2017,83,Other,5700,7700,6300,
,11/04/2017,44,Other,5500,7200,6200,
,12/04/2017,112,Other,5600,7000,6500,
,13/04/2017,92,Other,5400,7290,6500,
,15/04/2017,88,Other,5600,7100,6500,
,17/04/2017,74,Other,5600,7000,6500,
,18/04/2017,94,Other,5500,6900,6100,
,19/04/2017,31,Other,5700,6800,6000,
,20/04/2017,156,Other,5500,6900,6400,
,21/04/2017,32,Other,5500,7000,6500,
,24/04/2017,144,Other,5400,7500,6500,
,25/04/2017,259,Other,5600,7200,6500,
Basmat(Kurunda),01/04/2017,75,Other,6200,7700,6800,
,05/04/2017,22,Other,5500,6900,6200,
,06/04/2017,22,Other,5500,6500,6100,
,08/04/2017,57,Other,5700,7500,6800,
,15/04/2017,85,Other,5400,7000,6400,
,22/04/2017,104,Other,5200,7000,6400,
Bhokar,03/04/2017,22,Other,4800,5800,5600,
,04/04/2017,5,Other,4600,5800,4800,
,05/04/2017,6,Other,5100,6000,5500,
,10/04/2017,1,Other,5001,6200,5500,
,11/04/2017,2,Other,5250,5800,5550,
,12/04/2017,1,Other,5500,6000,5800,
,14/04/2017,3,Other,5300,5700,5500,
,15/04/2017,1,Other,4700,5700,5300,
,17/04/2017,3,Other,4700,5600,5000,
,18/04/2017,8,Other,5000,5600,5400,
,19/04/2017,7,Other,4500,5400,5000,
,21/04/2017,24,Other,3800,5571,4400,
,22/04/2017,1,Other,4505,5505,4800,
,24/04/2017,3,Other,5000,5500,5300,
,25/04/2017,14,Other,5000,5500,5400,
,26/04/2017,15,Other,5000,5500,5300,
,28/04/2017,13,Other,4700,5325,4900,
,29/04/2017,15,Other,4800,5345,5100,
Dharmabad,17/04/2017,32,Other,4000,6010,4800,
,21/04/2017,1,Other,4500,4890,4700,
Hingoli,05/04/2017,54,Other,6515,6575,6540,
,07/04/2017,356,Other,6815,6815,6815,
