Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Basmat,02/01/2017,79,Other,7100,8265,7500,
,03/01/2017,43,Other,7000,8080,7400,
,05/01/2017,41,Other,6800,7900,7200,
,06/01/2017,46,Other,7100,8155,7500,
,09/01/2017,79,Other,7100,8195,7400,
,10/01/2017,61,Other,6900,7850,7200,
,11/01/2017,42,Other,6800,8100,7400,
,12/01/2017,42,Other,6900,8400,7500,
,24/01/2017,50,Other,7200,8800,7500,
,30/01/2017,55,Other,7100,8700,7500,
Bhokar,13/01/2017,1,Other,5100,5800,5100,
Hingoli,02/01/2017,68,Other,7458,7956,7956,
,04/01/2017,69,Other,7564,8441,8441,
,06/01/2017,69,Other,6875,8556,8556,
,09/01/2017,56,Other,6976,8458,8458,
,10/01/2017,86,Other,7856,8558,8558,
,13/01/2017,31,Other,7525,7911,7911,
,17/01/2017,35,Other,7545,7935,7935,
,24/01/2017,79,Other,7456,7956,7956,
,31/01/2017,25,Other,7655,7905,7905,
Hingoli(Kanegoan Naka),02/01/2017,4,Other,7458,7956,7707,
,06/01/2017,4,Other,6875,8556,7715,
,09/01/2017,2,Other,6976,8458,7717,
Loha,04/01/2017,7,Rajapuri,6000,6875,6610,
,06/01/2017,2,Rajapuri,5601,6061,6000,
,07/01/2017,1,Rajapuri,6511,7001,6511,
Mumbai,02/01/2017,14,Other,6000,10000,8000,
,03/01/2017,5,Other,6000,10000,8000,
,04/01/2017,14,Other,6000,10000,8000,
,05/01/2017,12,Other,6000,10000,8000,
,06/01/2017,6,Other,6000,10000,8000,
,07/01/2017,13,Other,6000,10000,8000,
,09/01/2017,16,Other,6000,10000,8000,
,10/01/2017,50,Other,6000,10000,8000,
,11/01/2017,7,Other,6000,10000,8000,
,12/01/2017,3,Other,6000,10000,8000,
,14/01/2017,8,Other,6000,10000,8000,
,16/01/2017,10,Other,6000,10000,8000,
,17/01/2017,2,Other,6000,10000,8000,
,18/01/2017,9,Other,6000,10000,8000,
,19/01/2017,8,Other,6000,10000,8000,
,24/01/2017,15,Other,6000,10000,8000,
,25/01/2017,8,Other,6000,10000,8000,
,28/01/2017,6,Other,6000,10000,8000,
,30/01/2017,12,Other,6000,10000,8000,
,31/01/2017,8,Other,6000,10000,8000,
Nanded,02/01/2017,31,Other,7340,8500,8200,
,03/01/2017,28,Other,7200,7700,7290,
,04/01/2017,14,Other,7255,7440,7300,
,05/01/2017,21,Other,7195,7550,7200,
,06/01/2017,11,Other,7100,7500,7235,
,07/01/2017,25,Other,7200,8000,7400,
,09/01/2017,43,Other,7155,7790,7450,
,10/01/2017,24,Other,6900,7825,7500,
,11/01/2017,35,Other,6950,7700,7155,
,14/01/2017,6,Other,6950,7700,7325,
,16/01/2017,58,Other,7200,7700,7345,
,17/01/2017,17,Other,7100,7550,7350,
,21/01/2017,7,Other,7250,7800,7395,
,23/01/2017,15,Other,6900,7785,7390,
,24/01/2017,6,Other,6500,7750,7500,
,25/01/2017,7,Other,6135,7725,7100,
,30/01/2017,18,Other,6500,7650,6800,
Pune,04/01/2017,1,Rajapuri,13700,15700,14750,
,07/01/2017,1,Rajapuri,13500,15500,14600,
,10/01/2017,1,Rajapuri,13700,15700,14800,
,16/01/2017,1,Rajapuri,14000,16000,15100,
Risod,05/01/2017,28,Other,6220,7405,6800,
,12/01/2017,19,Other,7505,8110,7800,
Sangli,02/01/2017,4,Rajapuri,7000,9000,7850,
,05/01/2017,12,Rajapuri,7000,9350,7300,
,11/01/2017,84,Rajapuri,7100,9560,7450,
,13/01/2017,50,Rajapuri,6600,8500,7250,
,16/01/2017,49,Rajapuri,7500,10251,8351,
,17/01/2017,20,Rajapuri,6525,8375,6900,
,23/01/2017,6,Rajapuri,7300,10800,8650,
,24/01/2017,119,Rajapuri,7300,10000,8850,
,25/01/2017,71,Rajapuri,7300,10201,9510,
,28/01/2017,65,Rajapuri,7200,10650,8850,
,30/01/2017,188,Rajapuri,7400,10800,8950,
,31/01/2017,72,Rajapuri,7250,11000,8900,
Sengoan,18/01/2017,1,Other,6000,6800,6550,
Washim,07/01/2017,6,Other,6500,7150,7000,
