Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Akhadabalapur,07/07/2017,3,Rajapuri,6000,7000,6500,
,14/07/2017,4,Rajapuri,6500,7000,6750,
,18/07/2017,2,Rajapuri,6000,6500,6250,
,28/07/2017,3,Rajapuri,8000,8500,8250,
Basmat,07/07/2017,107,Other,6500,8800,7500,
,08/07/2017,60,Other,6700,9500,7500,
,10/07/2017,156,Other,7000,11115,7700,
,11/07/2017,189,Other,6900,9500,7500,
,12/07/2017,236,Other,7000,9500,7900,
,13/07/2017,59,Other,6800,9500,7500,
,14/07/2017,154,Other,6900,10000,8100,
,15/07/2017,162,Other,7200,10000,8400,
,17/07/2017,157,Other,7100,11200,8500,
,18/07/2017,163,Other,6800,9500,7500,
,19/07/2017,135,Other,6600,8700,7200,
,20/07/2017,66,Other,7000,9400,7900,
,21/07/2017,103,Other,6800,9200,7600,
,22/07/2017,45,Other,6700,8700,7200,
,24/07/2017,64,Other,6500,8800,7600,
,25/07/2017,123,Other,6800,8600,7300,
,26/07/2017,100,Other,6600,8500,7400,
,27/07/2017,46,Other,6500,8500,7200,
,28/07/2017,81,Other,6500,8700,7500,
,30/07/2017,32,Other,6500,8700,7500,
,31/07/2017,82,Other,6700,9500,7700,
Basmat(Kurunda),05/07/2017,61,Other,6300,8800,7200,
,08/07/2017,44,Other,6900,9800,8000,
,16/07/2017,138,Other,7400,10500,8600,
,22/07/2017,71,Other,6900,8960,7600,
,29/07/2017,67,Other,6500,8600,7500,
Bhokar,01/07/2017,10,Other,3800,6000,5000,
,03/07/2017,5,Other,5000,5600,5200,
,04/07/2017,4,Other,3900,4100,4000,
,05/07/2017,2,Other,4500,5300,4900,
,07/07/2017,1,Other,4500,6100,5400,
,08/07/2017,1,Other,3600,5000,4500,
,10/07/2017,3,Other,4500,6300,5400,
,11/07/2017,3,Other,4500,6000,5500,
,14/07/2017,2,Other,6361,6600,6450,
,15/07/2017,1,Other,4500,5950,5500,
,17/07/2017,1,Other,5500,6600,6100,
,18/07/2017,2,Other,5000,6700,6100,
,19/07/2017,1,Other,5200,6600,5600,
,22/07/2017,2,Other,4500,6200,5200,
,24/07/2017,2,Other,3300,6300,5500,
,25/07/2017,1,Other,4000,6500,5500,
,26/07/2017,1,Other,4600,5905,5200,
Hingoli,07/07/2017,345,Other,7460,8000,8000,
,19/07/2017,415,Other,7826,8351,8351,
,21/07/2017,356,Other,6851,7501,7501,
Jawala-Bajar,02/07/2017,24,Other,5600,6100,5850,
,03/07/2017,10,Other,6000,6500,6250,
,04/07/2017,9,Other,6000,6500,6250,
,05/07/2017,16,Other,6200,6600,6400,
,06/07/2017,12,Other,6100,6600,6400,
,07/07/2017,9,Other,6000,6300,6150,
,10/07/2017,8,Other,6000,6500,6250,
,11/07/2017,9,Other,7000,7500,7250,
,12/07/2017,12,Other,7000,7500,7250,
,13/07/2017,13,Other,7100,7600,7350,
,14/07/2017,15,Other,7200,7600,7400,
,16/07/2017,15,Other,7200,7500,7325,
,17/07/2017,15,Other,7100,7500,7300,
,18/07/2017,7,Other,6000,6500,6250,
,19/07/2017,9,Other,6100,6600,6300,
,20/07/2017,11,Other,6000,6500,6250,
,21/07/2017,10,Other,6100,6500,6300,
,23/07/2017,12,Other,6100,6500,6300,
,24/07/2017,6,Other,6000,6500,6250,
,25/07/2017,6,Other,6300,6500,6400,
,26/07/2017,11,Other,6000,6500,6250,
,27/07/2017,9,Other,6200,6500,6350,
,28/07/2017,12,Other,5900,6200,6050,
,30/07/2017,12,Other,6000,6500,6300,
,31/07/2017,9,Other,6700,7000,6850,
Jintur,13/07/2017,12,Other,6201,8800,8250,
,14/07/2017,10,Other,6600,9600,8480,
,15/07/2017,21,Other,6100,9300,8800,
,17/07/2017,38,Other,6000,9100,8500,
,18/07/2017,5,Other,7000,9300,7400,
,19/07/2017,3,Other,6001,7325,7001,
,20/07/2017,5,Other,6750,7750,7705,
,24/07/2017,3,Other,7000,7325,7200,
,25/07/2017,4,Other,4700,8000,7700,
,26/07/2017,2,Other,5500,7501,7400,
,29/07/2017,3,Other,5000,8325,7580,
,31/07/2017,2,Other,4000,7200,6500,
Kalamnuri,04/07/2017,13,Rajapuri,5000,5500,5200,
,16/07/2017,19,Rajapuri,6000,6300,6100,
Loha,05/07/2017,4,Rajapuri,5000,5625,5500,
,06/07/2017,5,Rajapuri,5210,5690,5500,
,08/07/2017,4,Rajapuri,5500,6202,6100,
,10/07/2017,6,Rajapuri,5751,6803,6700,
,12/07/2017,9,Rajapuri,6500,7077,6800,
,15/07/2017,10,Rajapuri,6200,7051,6800,
,24/07/2017,3,Rajapuri,5800,6601,6300,
,26/07/2017,3,Rajapuri,5000,6700,6300,
Mahagaon,14/07/2017,8,Other,4800,5800,5500,
,15/07/2017,4,Other,5200,5600,5400,
,16/07/2017,22,Other,5200,5600,5400,
Morshi,04/07/2017,2,Other,2694,3000,2847,
,11/07/2017,2,Other,2500,4190,3345,
Mumbai,03/07/2017,10,Other,5500,8500,7000,
,06/07/2017,38,Other,5500,8500,7000,
,07/07/2017,3,Other,5000,8000,6500,
,11/07/2017,9,Other,5000,8000,6500,
,12/07/2017,3,Other,5000,8000,6500,
,13/07/2017,4,Other,5000,8000,6500,
,14/07/2017,6,Other,5000,8000,6500,
,15/07/2017,4,Other,5000,8000,6500,
,17/07/2017,3,Other,5000,8000,6500,
,18/07/2017,19,Other,5000,8000,6500,
,21/07/2017,4,Other,7000,9000,8000,
,22/07/2017,9,Other,7000,9000,8000,
,25/07/2017,14,Other,7000,9000,8000,
,26/07/2017,9,Other,7000,9000,8000,
,27/07/2017,1,Other,7000,9000,8000,
,28/07/2017,1,Other,7000,9000,8000,
,29/07/2017,7,Other,7000,9000,8000,
Nanded,07/07/2017,53,Other,6700,9000,7190,
,08/07/2017,6,Other,6400,7300,7200,
,10/07/2017,131,Other,6695,8800,7435,
,11/07/2017,82,Other,6205,8250,7600,
,12/07/2017,142,Other,6290,9000,7700,
,13/07/2017,199,Other,6995,9285,8185,
,14/07/2017,45,Other,6850,8050,7500,
,15/07/2017,15,Other,6100,8700,6700,
,17/07/2017,94,Other,6800,8690,8380,
,18/07/2017,50,Other,7000,9200,8100,
,19/07/2017,105,Other,5745,8835,7700,
,20/07/2017,115,Other,6605,9000,7560,
,21/07/2017,135,Other,6485,9170,7690,
,22/07/2017,26,Other,6800,8600,7800,
,24/07/2017,45,Other,6900,8800,8500,
,25/07/2017,51,Other,6995,8595,7375,
,26/07/2017,88,Other,5500,9150,7990,
,28/07/2017,69,Other,6650,8585,7595,
,29/07/2017,22,Other,6500,9000,7500,
,31/07/2017,142,Other,5300,10000,8500,
Pune,03/07/2017,2,Rajapuri,8000,12000,10000,
,14/07/2017,1,Rajapuri,10000,12000,11000,
,20/07/2017,2,Rajapuri,9000,13000,11000,
,28/07/2017,1,Rajapuri,9000,12000,10500,
Purna,10/07/2017,7,Rajapuri,6800,8290,7700,
,11/07/2017,7,Rajapuri,5200,8110,7100,
,14/07/2017,5,Rajapuri,6703,7520,7110,
,20/07/2017,3,Rajapuri,6100,8300,7200,
Sangli,12/07/2017,77,Rajapuri,6100,10300,7600,
,13/07/2017,69,Rajapuri,6000,12600,7775,
,14/07/2017,10,Rajapuri,6000,11450,7850,
,24/07/2017,47,Rajapuri,6000,10100,8050,
,25/07/2017,332,Rajapuri,6000,8550,7275,
Sengoan,01/07/2017,2,Other,5400,5600,5500,
,05/07/2017,4,Other,5800,6000,5900,
,06/07/2017,5,Other,6100,6200,6150,
,08/07/2017,2,Other,6150,6300,6225,
,10/07/2017,3,Other,5800,6350,6100,
,12/07/2017,2,Other,6000,7000,6500,
