Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Akhadabalapur,07/06/2017,1,Rajapuri,5000,6000,5500,
,09/06/2017,2,Rajapuri,4200,4250,4225,
,10/06/2017,2,Rajapuri,4500,4700,4600,
,12/06/2017,1,Rajapuri,4500,4500,4500,
,13/06/2017,1,Rajapuri,5000,5100,5050,
,16/06/2017,3,Rajapuri,4000,4250,4125,
,20/06/2017,2,Rajapuri,4400,4600,4500,
,27/06/2017,2,Rajapuri,5000,5500,5250,
,30/06/2017,2,Rajapuri,4500,4600,4550,
Basmat,01/06/2017,77,Other,5500,6700,6000,
,02/06/2017,60,Other,5500,7400,6200,
,07/06/2017,100,Other,5500,7000,6200,
,08/06/2017,119,Other,5400,7200,6300,
,09/06/2017,50,Other,5300,7100,6300,
,10/06/2017,44,Other,5600,7200,6400,
,12/06/2017,50,Other,5500,6900,5700,
,13/06/2017,63,Other,5500,7000,6100,
,14/06/2017,143,Other,5400,7100,6200,
,15/06/2017,89,Other,5500,7500,6200,
,16/06/2017,122,Other,5400,7300,6200,
,19/06/2017,155,Other,5500,7500,6300,
,20/06/2017,157,Other,5500,7300,6400,
,21/06/2017,64,Other,5700,7800,6700,
,22/06/2017,119,Other,6000,7700,6700,
,23/06/2017,106,Other,6300,7800,6600,
,24/06/2017,54,Other,6000,8300,6900,
,26/06/2017,33,Other,6600,8200,6900,
,27/06/2017,69,Other,6200,8500,7200,
,28/06/2017,130,Other,6500,9000,7300,
,29/06/2017,97,Other,6200,8200,7200,
,30/06/2017,67,Other,6600,8500,7300,
Basmat(Kurunda),03/06/2017,130,Other,5300,7000,6200,
,10/06/2017,86,Other,5700,7500,6400,
,17/06/2017,38,Other,5400,7400,6400,
,24/06/2017,143,Other,5900,8200,6900,
Bhokar,02/06/2017,12,Other,3600,4900,4100,
,03/06/2017,11,Other,3300,3610,3500,
,06/06/2017,24,Other,3000,4731,4000,
,07/06/2017,11,Other,4500,5700,5400,
,09/06/2017,11,Other,3600,4600,4000,
,12/06/2017,13,Other,3200,4800,4500,
,13/06/2017,19,Other,3200,4826,4500,
,14/06/2017,5,Other,3000,4800,4000,
,16/06/2017,9,Other,4000,4750,4500,
,17/06/2017,9,Other,3400,4000,3900,
,19/06/2017,6,Other,3500,5300,4900,
,20/06/2017,11,Other,3500,5260,4600,
,21/06/2017,7,Other,3550,4800,4200,
,23/06/2017,16,Other,4400,5600,5000,
,24/06/2017,8,Other,5000,5980,5500,
,27/06/2017,12,Other,4500,6000,5000,
Chimur,01/06/2017,1,Other,8000,10000,9000,
,12/06/2017,4,Other,7000,9000,8000,
,13/06/2017,1,Other,7000,9000,8000,
Jawala-Bajar,07/06/2017,25,Other,4800,5000,4900,
,08/06/2017,18,Other,4800,5000,4900,
,09/06/2017,18,Other,4800,5000,4900,
,11/06/2017,16,Other,4600,5000,4800,
,12/06/2017,8,Other,4800,5200,5000,
,13/06/2017,12,Other,5000,5500,5200,
,14/06/2017,15,Other,5100,5600,5300,
,15/06/2017,15,Other,5200,5600,5400,
,16/06/2017,8,Other,5200,5600,5400,
,18/06/2017,10,Other,5300,5600,5450,
,19/06/2017,8,Other,5100,5300,5200,
,20/06/2017,6,Other,5100,5600,5300,
,21/06/2017,17,Other,4800,5100,4900,
,22/06/2017,18,Other,5100,5500,5300,
,23/06/2017,10,Other,4700,5000,4850,
,25/06/2017,12,Other,4700,5100,4850,
,27/06/2017,27,Other,5000,5500,5250,
,28/06/2017,26,Other,5500,6000,5750,
,29/06/2017,25,Other,5500,6000,5750,
,30/06/2017,27,Other,5500,6000,5750,
Jintur,01/06/2017,6,Other,4300,4700,4605,
,02/06/2017,8,Other,4000,5260,4800,
,03/06/2017,4,Other,4000,4750,4600,
,07/06/2017,32,Other,4370,5305,5050,
,08/06/2017,20,Other,4100,5210,5100,
,09/06/2017,18,Other,4000,5225,4800,
,10/06/2017,7,Other,4500,4975,4850,
,12/06/2017,28,Other,4000,5455,5150,
,13/06/2017,32,Other,4500,5355,5150,
,14/06/2017,15,Other,4570,5661,5251,
,15/06/2017,6,Other,4350,5630,5505,
,17/06/2017,5,Other,5050,6275,5960,
,19/06/2017,9,Other,4650,6500,6261,
,20/06/2017,24,Other,5401,7900,6880,
,21/06/2017,32,Other,5050,6865,6425,
,22/06/2017,35,Other,4900,7480,7000,
,23/06/2017,15,Other,5405,6500,6100,
,27/06/2017,21,Other,5401,7500,6800,
,28/06/2017,18,Other,4965,7670,6500,
,29/06/2017,7,Other,4350,7010,6000,
Loha,17/06/2017,2,Rajapuri,4501,4981,4800,
,19/06/2017,12,Rajapuri,4500,5010,4800,
Morshi,06/06/2017,2,Other,2500,4000,3250,
,13/06/2017,1,Other,2500,3000,2800,
Mumbai,02/06/2017,7,Other,6000,10000,8000,
,03/06/2017,5,Other,6000,10000,8000,
,05/06/2017,3,Other,6000,10000,8000,
,06/06/2017,12,Other,6000,10000,8000,
,07/06/2017,6,Other,6000,10000,8000,
,09/06/2017,4,Other,6000,10000,8000,
,10/06/2017,6,Other,6000,10000,8000,
,12/06/2017,1,Other,6000,10000,8000,
,13/06/2017,2,Other,6000,10000,8000,
,14/06/2017,6,Other,6000,10000,8000,
,16/06/2017,32,Other,6000,10000,8000,
,17/06/2017,16,Other,6000,10000,8000,
,19/06/2017,21,Other,6000,10000,8000,
,20/06/2017,42,Other,5000,8000,6500,
,21/06/2017,22,Other,5000,8000,6500,
,22/06/2017,6,Other,5000,8000,6500,
,23/06/2017,4,Other,5000,8000,6500,
,24/06/2017,12,Other,5000,8000,6500,
,26/06/2017,7,Other,5000,8000,6500,
,27/06/2017,17,Other,5000,8000,6500,
,28/06/2017,17,Other,5000,8000,6500,
Nanded,01/06/2017,164,Other,4450,6635,5600,
,02/06/2017,27,Other,4900,6100,5700,
,03/06/2017,52,Other,5200,6000,5795,
,06/06/2017,152,Other,4800,7000,5385,
,07/06/2017,123,Other,3900,7000,5410,
,08/06/2017,167,Other,4500,7100,5635,
,09/06/2017,181,Other,4650,6885,5700,
,10/06/2017,60,Other,4600,6800,5600,
,12/06/2017,92,Other,4800,6825,5595,
,13/06/2017,148,Other,4600,8000,5700,
,14/06/2017,196,Other,4855,7485,5600,
,15/06/2017,143,Other,4500,7385,5625,
,16/06/2017,115,Other,5095,6785,5710,
,17/06/2017,4,Other,5300,6000,5500,
,19/06/2017,152,Other,5335,8090,6100,
,20/06/2017,163,Other,5400,8645,6135,
,21/06/2017,154,Other,5095,7700,6200,
,22/06/2017,150,Other,4825,7640,6490,
,23/06/2017,109,Other,5295,7495,6330,
,27/06/2017,67,Other,5000,8450,6100,
,28/06/2017,148,Other,5700,7795,6785,
,29/06/2017,92,Other,5100,8000,6300,
,30/06/2017,75,Other,5700,7500,6250,
Pune,01/06/2017,1,Rajapuri,7000,10000,8500,
,02/06/2017,1,Rajapuri,7000,11000,9000,
,03/06/2017,1,Rajapuri,7000,11000,9000,
,06/06/2017,1,Rajapuri,8000,12000,10000,
,08/06/2017,1,Rajapuri,8000,12000,10000,
,09/06/2017,1,Rajapuri,8000,12000,10000,
,19/06/2017,1,Rajapuri,8000,12000,10000,
,23/06/2017,1,Rajapuri,8000,12000,10000,
,27/06/2017,1,Rajapuri,8000,12000,10000,
,30/06/2017,2,Rajapuri,8000,12000,10000,
Purna,01/06/2017,20,Rajapuri,4300,5680,5560,
,06/06/2017,6,Rajapuri,4610,5310,5250,
,07/06/2017,10,Rajapuri,4400,5540,5390,
,08/06/2017,7,Rajapuri,4270,5300,5270,
,20/06/2017,30,Rajapuri,5000,6620,6320,
,22/06/2017,7,Rajapuri,5270,6670,6400,
,27/06/2017,4,Rajapuri,4600,6730,5700,
,28/06/2017,10,Rajapuri,5010,6420,6400,
,29/06/2017,6,Rajapuri,5960,6310,6200,
