Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Basmat,01/03/2017,12,Other,6000,7980,7100,
,02/03/2017,39,Other,6700,8200,7100,
,06/03/2017,108,Other,6700,8000,7200,
,07/03/2017,49,Other,6800,7800,7200,
,08/03/2017,31,Other,6700,7900,7200,
,09/03/2017,76,Other,6800,8100,7300,
,10/03/2017,26,Other,6700,8000,7200,
,14/03/2017,80,Other,6300,7700,7000,
,15/03/2017,37,Other,6700,8000,7200,
,16/03/2017,46,Other,6700,7800,7100,
,17/03/2017,35,Other,6900,8055,7300,
,20/03/2017,87,Other,6900,8195,7200,
,21/03/2017,44,Other,6900,8100,7300,
,22/03/2017,46,Other,6900,7800,7100,
,23/03/2017,33,Other,6700,7900,7200,
,28/03/2017,97,Other,6300,8290,7300,
,29/03/2017,44,Other,6300,7700,6900,
,30/03/2017,115,Other,6400,7945,6900,
,31/03/2017,89,Other,6100,7595,6800,
Basmat(Kurunda),28/03/2017,43,Other,6200,8251,7200,
Bhokar,06/03/2017,2,Other,4900,6000,5300,
,08/03/2017,1,Other,4900,5400,5100,
,15/03/2017,3,Other,5500,5880,5700,
,20/03/2017,1,Other,4900,5200,5100,
,25/03/2017,4,Other,4949,5750,5500,
,27/03/2017,1,Other,4600,5700,4900,
,29/03/2017,4,Other,5500,6050,5800,
,31/03/2017,2,Other,5500,5703,5600,
Hingoli,03/03/2017,45,Other,7956,7956,7956,
,07/03/2017,46,Other,7955,7955,7955,
Jintur,23/03/2017,2,Other,5350,6065,5875,
,25/03/2017,1,Other,5000,5965,5850,
Mumbai,01/03/2017,14,Other,6000,10000,8000,
,02/03/2017,3,Other,6000,10000,8000,
,03/03/2017,24,Other,6000,10000,8000,
,04/03/2017,14,Other,6000,10000,8000,
,06/03/2017,35,Other,6000,10000,8000,
,07/03/2017,62,Other,6000,10000,8000,
,08/03/2017,36,Other,6000,10000,8000,
,09/03/2017,13,Other,6000,10000,8000,
,10/03/2017,25,Other,6000,10000,8000,
,11/03/2017,39,Other,6000,10000,8000,
,14/03/2017,56,Other,6000,10000,8000,
,15/03/2017,61,Other,6000,10000,8000,
,16/03/2017,31,Other,6000,10000,8000,
,17/03/2017,17,Other,6000,10000,8000,
,18/03/2017,19,Other,6000,10000,8000,
,20/03/2017,27,Other,6000,10000,8000,
,21/03/2017,91,Other,6000,10000,8000,
,22/03/2017,15,Other,6000,10000,8000,
,24/03/2017,20,Other,6000,10000,8000,
,29/03/2017,69,Other,6000,10000,8000,
,30/03/2017,46,Other,6000,10000,8000,
,31/03/2017,27,Other,6000,10000,8000,
Nanded,01/03/2017,3,Other,7300,7590,7350,
,02/03/2017,10,Other,6000,8050,7450,
,03/03/2017,11,Other,7200,8000,8000,
,06/03/2017,9,Other,6200,7750,7255,
,09/03/2017,2,Other,6795,7495,7307,
,10/03/2017,33,Other,6650,7365,6700,
,14/03/2017,34,Other,4745,7295,7090,
,16/03/2017,36,Other,6220,7770,7585,
,17/03/2017,27,Other,5600,7300,6810,
,20/03/2017,47,Other,6400,7045,6700,
,21/03/2017,66,Other,4800,7550,6680,
,22/03/2017,57,Other,4695,7485,6830,
,23/03/2017,67,Other,6295,7590,6700,
,24/03/2017,30,Other,4995,7390,6450,
,28/03/2017,109,Other,5451,7661,6000,
Pune,02/03/2017,1,Rajapuri,9000,13500,11250,
,20/03/2017,1,Rajapuri,8500,10500,9500,
,21/03/2017,1,Rajapuri,8500,12000,10250,
,24/03/2017,1,Rajapuri,8000,10000,9000,
,28/03/2017,6,Rajapuri,5700,6000,5850,
Sangli,01/03/2017,984,Rajapuri,6950,14500,9700,
,02/03/2017,1515,Rajapuri,6550,14000,9650,
,03/03/2017,330,Rajapuri,6650,13500,9450,
,04/03/2017,1174,Rajapuri,6950,15300,9350,
,06/03/2017,870,Rajapuri,6970,14800,9400,
,07/03/2017,2795,Rajapuri,6300,9200,7250,
,08/03/2017,871,Rajapuri,6800,14500,9200,
,09/03/2017,2177,Rajapuri,6800,12100,9100,
,10/03/2017,787,Rajapuri,6200,16650,9500,
,11/03/2017,543,Rajapuri,6200,15000,9350,
,14/03/2017,2961,Rajapuri,6150,12000,9100,
,15/03/2017,1365,Rajapuri,6200,16000,9600,
,16/03/2017,2462,Rajapuri,6200,14700,9700,
,17/03/2017,764,Rajapuri,5800,9250,7100,
,18/03/2017,906,Rajapuri,6200,14600,9500,
,20/03/2017,195,Rajapuri,6200,12900,9700,
,21/03/2017,2702,Rajapuri,6300,14300,9350,
,22/03/2017,1815,Rajapuri,6100,13700,9150,
,23/03/2017,1672,Rajapuri,6150,15800,9500,
,24/03/2017,1256,Rajapuri,6100,12800,9500,
,25/03/2017,1712,Rajapuri,6150,13200,9050,
Vai,21/03/2017,250,Other,6000,7500,7200,
