Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Basmat,01/11/2017,5,Other,7190,7795,7435,
,03/11/2017,29,Other,6500,8150,7300,
,06/11/2017,58,Other,6500,8200,7600,
,07/11/2017,32,Other,6600,8200,7800,
,09/11/2017,27,Other,6600,8600,7600,
,13/11/2017,36,Other,6500,8500,7700,
,14/11/2017,26,Other,6600,8100,7700,
,16/11/2017,35,Other,6500,8010,7200,
,17/11/2017,27,Other,6600,8100,7400,
,20/11/2017,72,Other,6500,8250,7300,
,21/11/2017,54,Other,6500,8600,7700,
,23/11/2017,60,Other,6720,8320,7850,
,24/11/2017,30,Other,6600,8600,7500,
,27/11/2017,59,Other,6700,8200,7700,
,28/11/2017,62,Other,6700,8600,7500,
,29/11/2017,37,Other,6700,8900,7800,
,30/11/2017,31,Other,6900,8700,7700,
Bhokar,03/11/2017,3,Other,4900,6000,5500,
,13/11/2017,2,Other,5600,7200,6100,
,14/11/2017,2,Other,5000,5600,5300,
Chimur,16/11/2017,1,Other,9000,10000,9500,
,20/11/2017,3,Other,9000,10000,9500,
,21/11/2017,1,Other,9000,10000,9500,
,30/11/2017,1,Other,9000,10000,9500,
Jawala-Bajar,03/11/2017,6,Other,6400,6800,6500,
,06/11/2017,4,Other,6200,6800,6700,
Jintur,03/11/2017,3,Other,6400,7300,6700,
,22/11/2017,4,Other,4700,6650,4700,
,27/11/2017,2,Other,7505,7505,7505,
Mumbai,01/11/2017,1,Other,9000,13000,11000,
,11/11/2017,6,Other,9000,13000,11000,
Nanded,01/11/2017,32,Other,6020,7735,7465,
,07/11/2017,40,Other,6295,8050,7495,
,08/11/2017,58,Other,6385,7700,7500,
,09/11/2017,45,Other,6445,7785,7405,
,10/11/2017,25,Other,6750,8500,7610,
,13/11/2017,24,Other,6760,7890,7050,
,14/11/2017,29,Other,6700,7860,7525,
,15/11/2017,11,Other,6500,8000,7325,
,16/11/2017,9,Other,5600,7910,6865,
,17/11/2017,21,Other,6000,8000,7450,
,20/11/2017,42,Other,6000,7940,7470,
,21/11/2017,17,Other,6395,8245,7305,
,22/11/2017,35,Other,6800,8480,7600,
,24/11/2017,31,Other,7000,8035,7600,
,27/11/2017,25,Other,6395,8000,7465,
,28/11/2017,49,Other,6695,8725,7595,
,29/11/2017,25,Other,6795,8495,7785,
,30/11/2017,9,Other,7550,7950,7850,
Sangli,01/11/2017,88,Rajapuri,6500,9000,7750,
,03/11/2017,34,Rajapuri,6500,10150,8325,
,06/11/2017,65,Rajapuri,6400,8850,7625,
,08/11/2017,23,Rajapuri,6400,9900,8150,
,10/11/2017,50,Rajapuri,6200,10250,8225,
,14/11/2017,25,Rajapuri,6400,9000,7700,
,15/11/2017,10,Rajapuri,6200,8500,7350,
,17/11/2017,10,Rajapuri,6200,8800,7500,
,20/11/2017,3,Rajapuri,6000,8350,7175,
,22/11/2017,10,Rajapuri,6000,11000,8500,
,24/11/2017,9,Rajapuri,6000,10450,8225,
,27/11/2017,27,Rajapuri,6050,10250,8150,
,29/11/2017,43,Rajapuri,5950,9000,7475,
Sengoan,30/11/2017,1,Other,7000,7000,7000,
