Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Parlakhemundi,18/04/2016,5,Other,12000,18000,18000,
Tikabali,02/04/2016,22.5, ,NR,NR,NR,
,03/04/2016,9.8, ,NR,NR,NR,
,04/04/2016,11, ,NR,NR,NR,
,05/04/2016,10, ,NR,NR,NR,
,06/04/2016,20, ,NR,NR,NR,
,09/04/2016,20, ,NR,NR,NR,
,10/04/2016,20, ,NR,NR,NR,
,11/04/2016,20, ,NR,NR,NR,
,12/04/2016,20, ,NR,NR,NR,
,14/04/2016,8.5, ,NR,NR,NR,
,16/04/2016,12, ,NR,NR,NR,
,17/04/2016,20, ,NR,NR,NR,
,18/04/2016,20, ,NR,NR,NR,
,19/04/2016,20, ,NR,NR,NR,
,20/04/2016,20, ,NR,NR,NR,
,21/04/2016,20, ,NR,NR,NR,
,23/04/2016,20, ,NR,NR,NR,
,24/04/2016,20, ,NR,NR,NR,
,25/04/2016,20, ,NR,NR,NR,
,26/04/2016,20, ,NR,NR,NR,
,28/04/2016,20, ,NR,NR,NR,
,29/04/2016,20, ,NR,NR,NR,
