Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Tikabali,01/11/2016,7,Finger,6500,6700,6600,
,02/11/2016,7,Finger,6500,6700,6600,
,03/11/2016,8,Finger,6500,6700,6600,
,04/11/2016,8,Finger,6500,6700,6600,
,05/11/2016,7,Finger,6500,6700,6600,
,06/11/2016,7,Finger,6500,6700,6600,
,07/11/2016,10,Finger,6500,6700,6600,
,08/11/2016,8,Finger,6500,6700,6600,
,09/11/2016,7,Finger,6500,6700,6600,
,10/11/2016,7,Finger,6500,6700,6600,
,11/11/2016,8,Finger,6500,6700,6600,
,12/11/2016,8,Finger,6500,6700,6600,
,13/11/2016,8,Finger,6500,6700,6600,
,14/11/2016,8,Finger,6500,6700,6600,
,15/11/2016,8,Finger,6500,6700,6600,
,16/11/2016,7,Finger,6500,6700,6600,
,17/11/2016,8,Finger,6500,6700,6600,
,18/11/2016,8,Finger,6500,6700,6600,
,19/11/2016,8,Finger,6500,6700,6600,
,20/11/2016,8,Finger,6500,6700,6600,
,21/11/2016,10,Finger,6500,6700,6600,
,22/11/2016,8,Finger,6500,6700,6600,
,23/11/2016,8,Finger,6500,6700,6600,
,24/11/2016,8,Finger,6500,6700,6600,
,25/11/2016,8,Finger,6500,6700,6600,
,26/11/2016,8,Finger,6500,6700,6600,
,27/11/2016,8,Finger,6500,6700,6600,
,28/11/2016,10,Finger,6500,6700,6600,
,29/11/2016,8,Finger,6500,6700,6600,
,30/11/2016,8,Finger,6500,6700,6600,
