Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Digapahandi,25/10/2017,2,Other,4000,5000,4600,
Tikabali,03/10/2017,10,Finger,6000,6200,6100,
,04/10/2017,10,Finger,6000,6200,6100,
,05/10/2017,10,Finger,6000,6200,6100,
,06/10/2017,15,Finger,6000,6200,6100,
,07/10/2017,15,Finger,6000,6200,6100,
,08/10/2017,10,Finger,6000,6200,6100,
,09/10/2017,20,Finger,6000,6200,6100,
,10/10/2017,10,Finger,6000,6200,6100,
,11/10/2017,10,Finger,6000,6200,6100,
,12/10/2017,10,Finger,6000,6200,6100,
,13/10/2017,10,Finger,6000,6200,6100,
,14/10/2017,15,Finger,6000,6200,6100,
,15/10/2017,10,Finger,6000,6200,6100,
,16/10/2017,20,Finger,6000,6200,6100,
,17/10/2017,10,Finger,6000,6200,6100,
,18/10/2017,10,Finger,6000,6200,6100,
,19/10/2017,15,Finger,6000,6200,6100,
,20/10/2017,15,Finger,6000,6300,6100,
,21/10/2017,10,Finger,6000,6200,6100,
,22/10/2017,10,Finger,6000,6200,6100,
,23/10/2017,15,Finger,6000,6300,6100,
,24/10/2017,10,Finger,6000,6200,6100,
,25/10/2017,10,Finger,6000,6200,6100,
,26/10/2017,10,Finger,6000,6200,6100,
,27/10/2017,10,Finger,6000,6200,6100,
,28/10/2017,15,Finger,6000,6200,6100,
,29/10/2017,10,Finger,6000,6200,6100,
,30/10/2017,10,Finger,6000,6200,6100,
,31/10/2017,10, ,NR,NR,NR,
