Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Erode,02/01/2017,87.7,Bulb,5214,8085,7589,
,,,Finger,5414,8655,8155,
,03/01/2017,71.5,Bulb,5909,8409,8009,
,,,Finger,6468,8619,8219,
,04/01/2017,98.1,Bulb,5266,7934,7519,
,,,Finger,5469,8516,8069,
,05/01/2017,123.5,Bulb,5436,7981,7519,
,,,Finger,5600,8885,8391,
,06/01/2017,209.4,Bulb,5235,7899,7469,
,,,Finger,5565,8800,8329,
,09/01/2017,105.3,Bulb,5555,7889,7459,
,,,Finger,5756,8888,8449,
,10/01/2017,150,Bulb,5156,7620,7259,
,,,Finger,5225,8385,7929,
,11/01/2017,130,Bulb,5679,7900,7429,
,,,Finger,5860,8437,8027,
,12/01/2017,155.5,Bulb,5255,7888,7488,
,,,Finger,5499,8588,8119,
,18/01/2017,78,Bulb,5808,8000,7569,
,,,Finger,6199,8437,8047,
,19/01/2017,92.4,Bulb,5384,7990,7454,
,,,Finger,5822,8529,8099,
,23/01/2017,113.7,Bulb,5356,7900,7459,
,,,Finger,5466,8541,8159,
,24/01/2017,167.7,Bulb,5239,8239,7819,
,,,Finger,5709,8456,8029,
,25/01/2017,162.5,Bulb,5509,8008,7529,
,,,Finger,5534,8855,8489,
,27/01/2017,146,Bulb,5214,7915,7459,
,,,Finger,5560,8488,8018,
,30/01/2017,97.5,Bulb,5099,7814,7419,
,,,Finger,5650,8525,8029,
,31/01/2017,87.6,Bulb,5286,7889,7489,
,,,Finger,5391,8559,8119,
Namagiripettai,02/01/2017,0.1,Bulb,7999,8609,8304,
,,,Finger,8399,9419,8909,
,03/01/2017,0.1,Bulb,7999,8609,8304,
,,,Finger,8399,9419,8399,
,09/01/2017,0.1,Bulb,7589,8569,8079,
,,,Finger,8099,9389,8744,
,10/01/2017,0.1,Bulb,7589,8569,8079,
,,,Finger,8099,9389,8744,
,11/01/2017,0.1,Bulb,7215,8549,7882,
,,,Finger,8449,9415,8932,
,12/01/2017,0.1,Bulb,7215,8549,7882,
,,,Finger,8449,9415,8932,
,13/01/2017,0.1,Bulb,7215,8549,7882,
,,,Finger,8449,9415,8932,
,18/01/2017,0.1,Bulb,7215,8549,7882,
,,,Finger,8449,9415,8932,
,19/01/2017,0.1,Bulb,7215,8549,7882,
,,,Finger,8449,9415,8932,
,20/01/2017,0.1,Bulb,7215,8549,7882,
,,,Finger,8449,9415,8932,
,23/01/2017,0.1,Bulb,7215,8549,7882,
,,,Finger,8449,9415,8932,
,24/01/2017,0.1,Bulb,7215,8549,7882,
,,,Finger,8449,9415,8932,
,25/01/2017,0.1,Bulb,7268,8100,7684,
,,,Finger,8012,8800,8406,
,27/01/2017,0.1,Bulb,7268,8100,7684,
,,,Finger,8012,8800,8406,
,30/01/2017,0.1,Bulb,7268,8100,7684,
,,,Finger,8012,8800,8406,
,31/01/2017,0.1,Bulb,7268,8100,7684,
,,,Finger,8012,8800,8406,
Perundurai,02/01/2017,18,Bulb,6899,7985,7599,
,,,Finger,7369,8479,8077,
,03/01/2017,34,Bulb,7369,8085,7727,
,,,Finger,7569,8617,8093,
,04/01/2017,49.84,Bulb,7169,8019,7679,
,,,Finger,7287,8445,8091,
,05/01/2017,85.92,Bulb,7169,7999,7539,
,,,Finger,7314,8569,8081,
,06/01/2017,43.2,Bulb,7009,7999,7679,
,,,Finger,799,8579,8069,
,09/01/2017,23.2,Bulb,6237,7869,7484,
,,,Finger,6717,8580,8074,
,10/01/2017,29.84,Bulb,6567,7499,7119,
,,,Finger,6967,8109,7589,
,11/01/2017,51.28,Bulb,7137,8059,7768,
,,,Finger,7289,8499,8019,
,12/01/2017,41.42,Bulb,6969,7799,7499,
,,,Finger,7289,8449,7799,
,18/01/2017,43.6,Bulb,7168,7989,7599,
,,,Finger,7238,8438,8068,
,19/01/2017,9.6,Bulb,7399,7899,7699,
,,,Finger,7489,8099,7789,
,23/01/2017,15.36,Bulb,6909,7799,7409,
,,,Finger,7109,8117,7800,
,24/01/2017,22.72,Bulb,6637,7487,7137,
,,,Finger,7091,8311,7667,
,25/01/2017,74.64,Bulb,7026,7929,7561,
,,,Finger,7389,8721,8404,
,27/01/2017,55.2,Bulb,7029,7889,7489,
,,,Finger,7187,8277,7899,
,30/01/2017,13.92,Bulb,6009,7839,7599,
,,,Finger,6139,8376,7891,
,31/01/2017,14.48,Bulb,6449,7989,7799,
,,,Finger,6899,8391,7989,
Salem,02/01/2017,0.1,Bulb,8100,8600,8400,
,,,Finger,8700,9400,9200,
,03/01/2017,0.1,Bulb,8100,8700,8500,
,,,Finger,8500,9200,8900,
,05/01/2017,0.1,Bulb,8100,8600,8400,
,,,Finger,8600,9300,9000,
,09/01/2017,0.1,Bulb,7800,8600,8200,
,,,Finger,8300,9200,8700,
,10/01/2017,0.1,Bulb,7700,8600,8200,
,,,Finger,8500,9100,8800,
,11/01/2017,0.1,Bulb,7900,8700,8300,
,,,Finger,8400,9200,8700,
,12/01/2017,0.1,Bulb,7900,8700,8400,
,,,Finger,8300,9100,8800,
,13/01/2017,0.1,Bulb,7600,8500,8100,
,,,Finger,8400,9300,8900,
,18/01/2017,0.1,Bulb,7500,8600,8100,
,,,Finger,8500,9400,8800,
,19/01/2017,0.1,Bulb,7400,8500,7900,
,,,Finger,8300,9200,8700,
,20/01/2017,0.1,Bulb,7600,8500,8100,
,,,Finger,8400,9300,8800,
,23/01/2017,0.1,Bulb,7400,8400,7900,
,,,Finger,8300,9200,8700,
,24/01/2017,0.1,Bulb,7300,8500,7800,
,,,Finger,8300,9200,8700,
,25/01/2017,0.1,Bulb,7500,8600,7900,
,,,Finger,8400,9100,8800,
,27/01/2017,0.1,Bulb,7300,8200,7700,
,,,Finger,8200,8800,8500,
,30/01/2017,0.1,Bulb,7400,8200,7800,
,,,Finger,8300,8900,8600,
,31/01/2017,0.1,Bulb,7300,8100,7700,
,,,Finger,8100,8700,8500,
Sevur,25/01/2017,8,Other,7000,8500,7500,
Thondamuthur,25/01/2017,5.39,Bulb,7200,7600,7400,
Tiruchengode,02/01/2017,0.1,Bulb,7760,8254,7843,
,,,Finger,7580,8826,8733,
,03/01/2017,0.1,Bulb,7741,8261,7854,
,,,Finger,7581,8833,8740,
,05/01/2017,0.1,Bulb,7768,8244,7902,
,,,Finger,7864,8828,8760,
,09/01/2017,0.1,Bulb,7594,8120,7841,
,,,Finger,7686,8914,8707,
,10/01/2017,0.1,Bulb,7588,8092,7813,
,,,Finger,7670,8914,7689,
,11/01/2017,0.1,Bulb,7600,8104,7789,
,,,Finger,7683,8892,8691,
,12/01/2017,0.1,Bulb,7630,8126,7754,
,,,Finger,7647,8878,8633,
,13/01/2017,0.1,Bulb,7604,8139,7729,
,,,Finger,7637,8869,8607,
,18/01/2017,0.1,Bulb,7656,8183,7741,
,,,Finger,7617,8906,8627,
,19/01/2017,0.1,Bulb,7642,8154,7730,
,,,Finger,4615,8900,8616,
,20/01/2017,0.1,Bulb,7733,8117,7762,
,,,Finger,7623,8914,8654,
,23/01/2017,0.1,Bulb,7726,8164,7760,
,,,Finger,7604,8923,8394,
,24/01/2017,0.1,Bulb,7761,8157,7817,
,,,Finger,7621,8916,8363,
,25/01/2017,0.1,Bulb,7739,8170,7823,
,,,Finger,7641,8924,8347,
,27/01/2017,0.1,Bulb,7786,8211,7867,
,,,Finger,7664,8917,8478,
,30/01/2017,0.1,Bulb,7744,8107,7896,
,,,Finger,7661,8936,8430,
,31/01/2017,0.1,Bulb,7694,8123,7817,
,,,Finger,7630,8924,8491,
