Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Chinnasalem,13/06/2017,3,Other,3009,6669,5939,
Erode,01/06/2017,56.7,Bulb,4691,6155,5781,
,,,Finger,4899,7379,6899,
,02/06/2017,76.8,Bulb,4511,6214,5812,
,,,Finger,5168,7619,7215,
,05/06/2017,14.38,Bulb,4511,6214,5200,
,,,Finger,5168,7619,6200,
,06/06/2017,4.51,Bulb,5058,6099,5500,
,,,Finger,5651,7378,6250,
,16/06/2017,36.9,Bulb,5158,6274,5600,
,,,Finger,5606,7591,6100,
,19/06/2017,11.2,Bulb,5544,6234,5800,
,,,Finger,5888,7388,6100,
,20/06/2017,21.6,Bulb,5699,6258,5850,
,,,Finger,5986,7369,6100,
,21/06/2017,30.2,Bulb,5555,6484,5900,
,,,Finger,5899,7450,6200,
,22/06/2017,27.8,Bulb,5566,6744,5800,
,,,Finger,5966,7656,6250,
Namagiripettai,01/06/2017,0.1,Bulb,5999,6732,6345,
,,,Finger,6499,7872,7185,
,05/06/2017,0.1,Bulb,5999,6732,6345,
,,,Finger,6499,7872,7185,
,06/06/2017,0.1,Bulb,5999,6732,6345,
,,,Finger,6499,7872,7185,
,07/06/2017,0.1,Bulb,5999,6732,6345,
,,,Finger,6499,7872,7185,
,08/06/2017,0.1,Bulb,5999,6732,6345,
,,,Finger,6499,7872,7185,
,09/06/2017,0.1,Bulb,5889,6809,6086,
,,,Finger,6842,8369,7365,
,12/06/2017,0.1,Bulb,5889,6809,6086,
,,,Finger,6842,8369,7365,
,13/06/2017,0.1,Bulb,5889,6809,6086,
,,,Finger,6842,8369,7365,
,14/06/2017,0.1,Bulb,5889,6809,6086,
,,,Finger,6842,8369,7365,
,15/06/2017,0.1,Bulb,5889,6809,6086,
,,,Finger,6842,8349,7365,
,16/06/2017,0.1,Bulb,5889,6809,6086,
,,,Finger,6842,8369,7365,
,19/06/2017,0.1,Bulb,5889,6809,6086,
