Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adilabad(Rythu Bazar),03/02/2016,0.007,Turmeric Powder,14000,14000,14000,
,04/02/2016,0.005,Turmeric Powder,14000,14000,14000,
Hyderabad (F&V),01/02/2016,1.3,Turmeric,9000,9700,9500,
,03/02/2016,6.3,Turmeric,7000,8000,7500,
,10/02/2016,1.6,Turmeric,7000,9000,8000,
,13/02/2016,1.5,Turmeric,8000,9000,8500,
,19/02/2016,2.3,Turmeric,9000,10500,9500,
,22/02/2016,4.4,Turmeric,8000,9000,8500,
,26/02/2016,2.5,Turmeric,8000,9000,8500,
Kesamudram,24/02/2016,0.4,Bulb,7600,9121,9100,
,,,Finger,7900,9321,9011,
,29/02/2016,5.9,Bulb,9001,9090,9090,
,,,Finger,9002,9131,9131,
Metpally,02/02/2016,16.86,Bulb,1475,6960,2300,
,,,Finger,1400,8000,4500,
,03/02/2016,31.62,Bulb,1600,7100,5600,
,,,Finger,1351,7900,6000,
,04/02/2016,17.76,Bulb,1800,6800,2400,
,,,Finger,1500,7800,4500,
,05/02/2016,26.52,Bulb,1550,6500,2260,
,,,Finger,1500,7550,6500,
,06/02/2016,10.8,Bulb,1500,7000,5900,
,,,Finger,1311,8000,6200,
Nizamabad,01/02/2016,475.4,Bulb,4006,8081,6470,
,,,Finger,4120,8550,7550,
,02/02/2016,299.5,Bulb,4011,8156,6550,
,,,Finger,4020,8727,7550,
,03/02/2016,307.8,Bulb,4110,8579,6700,
,,,Finger,4010,8800,7660,
,05/02/2016,935.8,Bulb,4011,8415,6750,
,,,Finger,4025,8716,7650,
,09/02/2016,1109.7,Bulb,4151,8311,6850,
,,,Finger,4116,8720,7850,
,10/02/2016,666.9,Bulb,4011,8216,6870,
,,,Finger,4040,8877,7850,
,11/02/2016,547.5,Bulb,4150,8110,6680,
,,,Finger,4210,9192,7825,
,12/02/2016,577,Bulb,4010,8756,6850,
,,,Finger,4111,9011,7820,
,15/02/2016,987.3,Bulb,4100,8411,6950,
,,,Finger,4250,9177,7850,
,16/02/2016,744.8,Bulb,4011,8250,6950,
,,,Finger,4020,8995,7865,
,17/02/2016,722.5,Bulb,4017,8502,7010,
,,,Finger,4037,9355,7885,
,18/02/2016,654.4,Bulb,4040,8296,7100,
,,,Finger,4100,9239,7930,
,19/02/2016,705.5,Bulb,4011,8437,7150,
,,,Finger,4110,9796,7960,
,22/02/2016,1183.8,Bulb,4120,8786,7180,
,,,Finger,4155,9798,7958,
,23/02/2016,759.7,Bulb,4100,8562,7200,
,,,Finger,4111,9367,7970,
,24/02/2016,560.8,Bulb,4010,8396,7150,
,,,Finger,4150,9292,7950,
,25/02/2016,817,Bulb,4010,8789,6950,
,,,Finger,4155,8788,7850,
,26/02/2016,702.9,Bulb,4011,8279,6950,
,,,Finger,4025,9311,7880,
,29/02/2016,1101.5,Bulb,4077,8685,6895,
,,,Finger,4111,8992,7950,
Warangal,04/02/2016,1.8,Bulb,7000,7000,7000,
,,,Finger,7000,7000,7000,
,10/02/2016,3.3,Bulb,7500,7800,7500,
,,,Finger,7500,7800,7500,
,12/02/2016,2.7,Bulb,8200,8200,8200,
,,,Finger,8200,8450,8450,
,13/02/2016,1.8,Bulb,8200,8200,8200,
,,,Finger,8200,8200,8200,
,23/02/2016,3.3,Bulb,8500,8500,8500,
,,,Finger,8500,8500,8500,
,24/02/2016,1.8,Bulb,8500,8500,8500,
,,,Finger,7800,8500,8500,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adilabad(Rythu Bazar),03/02/2016,0.007,Turmeric Powder,14000,14000,14000,
,04/02/2016,0.005,Turmeric Powder,14000,14000,14000,
Hyderabad (F&V),01/02/2016,1.3,Turmeric,9000,9700,9500,
,03/02/2016,6.3,Turmeric,7000,8000,7500,
,10/02/2016,1.6,Turmeric,7000,9000,8000,
,13/02/2016,1.5,Turmeric,8000,9000,8500,
,19/02/2016,2.3,Turmeric,9000,10500,9500,
,22/02/2016,4.4,Turmeric,8000,9000,8500,
,26/02/2016,2.5,Turmeric,8000,9000,8500,
Kesamudram,24/02/2016,0.4,Bulb,7600,9121,9100,
,,,Finger,7900,9321,9011,
,29/02/2016,5.9,Bulb,9001,9090,9090,
,,,Finger,9002,9131,9131,
Metpally,02/02/2016,16.86,Bulb,1475,6960,2300,
,,,Finger,1400,8000,4500,
,03/02/2016,31.62,Bulb,1600,7100,5600,
,,,Finger,1351,7900,6000,
,04/02/2016,17.76,Bulb,1800,6800,2400,
,,,Finger,1500,7800,4500,
,05/02/2016,26.52,Bulb,1550,6500,2260,
,,,Finger,1500,7550,6500,
,06/02/2016,10.8,Bulb,1500,7000,5900,
,,,Finger,1311,8000,6200,
Nizamabad,01/02/2016,475.4,Bulb,4006,8081,6470,
,,,Finger,4120,8550,7550,
,02/02/2016,299.5,Bulb,4011,8156,6550,
,,,Finger,4020,8727,7550,
,03/02/2016,307.8,Bulb,4110,8579,6700,
,,,Finger,4010,8800,7660,
,05/02/2016,935.8,Bulb,4011,8415,6750,
,,,Finger,4025,8716,7650,
,09/02/2016,1109.7,Bulb,4151,8311,6850,
,,,Finger,4116,8720,7850,
,10/02/2016,666.9,Bulb,4011,8216,6870,
,,,Finger,4040,8877,7850,
,11/02/2016,547.5,Bulb,4150,8110,6680,
,,,Finger,4210,9192,7825,
,12/02/2016,577,Bulb,4010,8756,6850,
,,,Finger,4111,9011,7820,
,15/02/2016,987.3,Bulb,4100,8411,6950,
,,,Finger,4250,9177,7850,
,16/02/2016,744.8,Bulb,4011,8250,6950,
,,,Finger,4020,8995,7865,
,17/02/2016,722.5,Bulb,4017,8502,7010,
,,,Finger,4037,9355,7885,
,18/02/2016,654.4,Bulb,4040,8296,7100,
,,,Finger,4100,9239,7930,
,19/02/2016,705.5,Bulb,4011,8437,7150,
,,,Finger,4110,9796,7960,
,22/02/2016,1183.8,Bulb,4120,8786,7180,
,,,Finger,4155,9798,7958,
,23/02/2016,759.7,Bulb,4100,8562,7200,
,,,Finger,4111,9367,7970,
,24/02/2016,560.8,Bulb,4010,8396,7150,
,,,Finger,4150,9292,7950,
,25/02/2016,817,Bulb,4010,8789,6950,
,,,Finger,4155,8788,7850,
,26/02/2016,702.9,Bulb,4011,8279,6950,
,,,Finger,4025,9311,7880,
,29/02/2016,1101.5,Bulb,4077,8685,6895,
,,,Finger,4111,8992,7950,
Warangal,04/02/2016,1.8,Bulb,7000,7000,7000,
,,,Finger,7000,7000,7000,
,10/02/2016,3.3,Bulb,7500,7800,7500,
,,,Finger,7500,7800,7500,
,12/02/2016,2.7,Bulb,8200,8200,8200,
,,,Finger,8200,8450,8450,
,13/02/2016,1.8,Bulb,8200,8200,8200,
,,,Finger,8200,8200,8200,
,23/02/2016,3.3,Bulb,8500,8500,8500,
,,,Finger,8500,8500,8500,
,24/02/2016,1.8,Bulb,8500,8500,8500,
,,,Finger,7800,8500,8500,
