Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adampur,20/04/2017,4255.1,Other,1625,1625,1625,
,21/04/2017,735.7,Other,1625,1625,1625,
,22/04/2017,4663.6,Other,1625,1625,1625,
,23/04/2017,1137,Other,1625,1625,1625,
,24/04/2017,1326.5,Other,1625,1625,1625,
,25/04/2017,3301,Other,1625,1625,1625,
,26/04/2017,601.5,Other,1625,1625,1625,
Adampur(Agroha),11/04/2017,820,Other,1625,1625,1625,
,12/04/2017,1761,Other,1625,1625,1625,
,13/04/2017,126,Other,1625,1625,1625,
,14/04/2017,685,Other,1625,1625,1625,
,15/04/2017,630,Other,1625,1625,1625,
,17/04/2017,856.5,Other,1625,1625,1625,
,20/04/2017,823.5,Other,1625,1625,1625,
,21/04/2017,1183.5,Other,1625,1625,1625,
,22/04/2017,332,Other,1625,1625,1625,
,24/04/2017,624,Other,1625,1625,1625,
,25/04/2017,174.5,Other,1625,1625,1625,
,26/04/2017,317,Other,1625,1625,1625,
Babain,07/04/2017,60,Local,1625,1625,1625,
,08/04/2017,154,Local,1625,1625,1625,
,09/04/2017,530,Local,1625,1625,1625,
,10/04/2017,991,Local,1625,1625,1625,
,11/04/2017,1000,Local,1625,1625,1625,
,12/04/2017,2680,Local,1625,1625,1625,
,13/04/2017,1500,Local,1625,1625,1625,
,14/04/2017,2150,Local,1625,1625,1625,
,15/04/2017,1200,Local,1625,1625,1625,
,16/04/2017,1360,Local,1625,1625,1625,
,17/04/2017,1400,Local,1625,1625,1625,
,18/04/2017,778,Local,1625,1625,1625,
,19/04/2017,985,Local,1625,1625,1625,
,20/04/2017,680,Local,1625,1625,1625,
,21/04/2017,700,Local,1625,1625,1625,
,22/04/2017,430,Local,1625,1625,1625,
,23/04/2017,590,Local,1625,1625,1625,
,24/04/2017,1000,Local,1625,1625,1625,
,25/04/2017,550,Local,1625,1625,1625,
,26/04/2017,700,Local,1625,1625,1625,
,27/04/2017,460,Local,1625,1625,1625,
,28/04/2017,300,Local,1625,1625,1625,
,29/04/2017,300,Local,1625,1625,1625,
Barara,06/04/2017,3474,Other,1625,1625,1625,
,07/04/2017,8039,Other,1625,1625,1625,
,08/04/2017,8710,Other,1625,1625,1625,
,09/04/2017,14464,Other,1625,1625,1625,
,10/04/2017,17944,Other,1625,1625,1625,
,11/04/2017,23400,Other,1625,1625,1625,
,12/04/2017,28781,Other,1625,1625,1625,
,13/04/2017,26274,Other,1625,1625,1625,
,14/04/2017,24419,Other,1625,1625,1625,
,15/04/2017,22746,Other,1625,1625,1625,
,16/04/2017,23529,Other,1625,1625,1625,
,17/04/2017,20018,Other,1625,1625,1625,
,18/04/2017,16583,Other,1625,1625,1625,
,19/04/2017,12754,Other,1625,1625,1625,
,24/04/2017,5635,Other,1625,1625,1625,
,25/04/2017,8297,Other,1625,1625,1625,
,27/04/2017,9879,Other,1625,1625,1625,
Barwala(Hisar),30/04/2017,1680,Other,1625,1625,1625,
Behal,12/04/2017,71.5,Other,1625,1625,1625,
,13/04/2017,136.5,Other,1625,1625,1625,
,15/04/2017,276.5,Other,1625,1625,1625,
,17/04/2017,570.5,Other,1625,1625,1625,
