Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
A lot,01/10/2016,68.14,Medium,1575,1675,1655,
,04/10/2016,0.54,Medium,1600,1641,1641,
,05/10/2016,1.25,Medium,1645,1645,1645,
,06/10/2016,0.78,Medium,1640,1645,1645,
,07/10/2016,32.04,Medium,1635,1650,1640,
,08/10/2016,22.33,Medium,1640,1680,1670,
,13/10/2016,2.49,Medium,1692,1694,1694,
,14/10/2016,37.61,Medium,1656,1742,1660,
,15/10/2016,3.22,Medium,1670,1726,1700,
,17/10/2016,11.46,Medium,1660,1735,1712,
,18/10/2016,18.32,Medium,1690,1730,1715,
,19/10/2016,4.46,Medium,1718,1756,1737,
,20/10/2016,4.62,Medium,1731,1750,1740,
,21/10/2016,35.27,Medium,1745,1762,1750,
,22/10/2016,6.36,Medium,1700,1755,1750,
,24/10/2016,5.02,Medium,1735,1900,1780,
,25/10/2016,5.12,Medium,1777,1810,1790,
,26/10/2016,45.77,Medium,1750,1805,1795,
,27/10/2016,19.84,Medium,1702,1858,1775,
,28/10/2016,43.32,Medium,1780,1810,1795,
Agar,03/10/2016,15,Other,1670,1700,1680,
,04/10/2016,25,Other,1660,1720,1680,
,05/10/2016,30,Other,1650,1740,1690,
,06/10/2016,12,Other,1590,1770,1680,
,07/10/2016,25,Other,1550,1770,1690,
,14/10/2016,30,Other,1630,1770,1700,
,15/10/2016,16,Other,1700,1770,1730,
,17/10/2016,30,Other,1700,1800,1760,
,19/10/2016,25,Other,1700,1790,1750,
,20/10/2016,20,Other,1720,1780,1750,
,21/10/2016,24,Other,1650,1880,1750,
,22/10/2016,13,Other,1755,1830,1770,
,24/10/2016,16,Other,1750,1840,1770,
,25/10/2016,35,Other,1750,1880,1790,
,26/10/2016,30,Other,1700,1830,1760,
,27/10/2016,25,Other,1710,1830,1790,
Ajaygarh,04/10/2016,30,Deshi,1600,1640,1620,
,05/10/2016,9,Deshi,1615,1640,1620,
,06/10/2016,15,Deshi,1620,1650,1625,
,08/10/2016,9,Deshi,1625,1650,1640,
,10/10/2016,20,Deshi,1620,1660,1640,
,12/10/2016,36,Deshi,1600,6015,6010,
,13/10/2016,22,Deshi,1625,1650,1640,
,14/10/2016,34,Deshi,1600,1675,1650,
,15/10/2016,30,Deshi,1600,1680,1650,
,17/10/2016,20,Deshi,1650,1700,1680,
,20/10/2016,13,Deshi,1610,1650,1630,
,22/10/2016,22,Deshi,1625,1650,1640,
,24/10/2016,10,Deshi,1640,1660,1650,
,25/10/2016,35,Deshi,1630,1660,1650,
,26/10/2016,40,Deshi,1640,1660,1650,
,27/10/2016,29,Deshi,1650,1660,1655,
Akodia,02/10/2016,7.01,Mill Quality,1550,1650,1600,
,03/10/2016,58.76,Mill Quality,1550,1610,1600,
,07/10/2016,30.17,Mill Quality,1580,1650,1600,
,08/10/2016,4,Mill Quality,1550,1650,1600,
,13/10/2016,47.46,Mill Quality,1600,1760,1650,
,14/10/2016,47.46,Mill Quality,1600,1760,1650,
,15/10/2016,90.85,Mill Quality,1580,1690,1600,
,16/10/2016,57.58,Mill Quality,1600,1750,1650,
,17/10/2016,92.92,Mill Quality,1650,1850,1700,
,18/10/2016,44,Mill Quality,1650,1810,1680,
,20/10/2016,85.58,Mill Quality,1650,1850,1700,
,21/10/2016,166.43,Mill Quality,1660,1871,1700,
,22/10/2016,157.33,Mill Quality,1650,2000,1700,
,23/10/2016,34.05,Mill Quality,1650,1750,1700,
,27/10/2016,137.1,Mill Quality,1650,1810,1700,
Alampur,01/10/2016,12,Other,1550,1620,1600,
,02/10/2016,32.5,Other,1600,1700,1620,
,07/10/2016,10.5,Other,1600,1700,1620,
,08/10/2016,11.5,Other,1650,1820,1700,
,13/10/2016,34.4,Other,1555,1700,1620,
,17/10/2016,50.7,Other,1600,1670,1660,
,18/10/2016,24.5,Other,1550,1700,1620,
,19/10/2016,2.5,Other,1550,1660,1600,
,20/10/2016,11.5,Other,1600,1660,1620,
,21/10/2016,11.5,Other,1600,1670,1650,
,22/10/2016,79,Other,1550,1620,1600,
,23/10/2016,15,Other,1500,1620,1600,
,24/10/2016,86.5,Other,1670,1690,1680,
,25/10/2016,91,Other,1700,1775,1725,
,26/10/2016,15.5,Other,1700,1730,1710,
,28/10/2016,19.9,Other,1600,1750,1700,
,29/10/2016,130,Other,1550,1620,1600,
Alirajpur,09/10/2016,50,147 Average,1600,1700,1650,
,12/10/2016,43,147 Average,1580,1650,1600,
,13/10/2016,16,147 Average,1550,1650,1600,
,14/10/2016,78,147 Average,1565,1600,1570,
,15/10/2016,13.5,147 Average,1550,1625,1600,
,17/10/2016,16,147 Average,1550,1625,1600,
,18/10/2016,35,147 Average,1550,1625,1600,
,19/10/2016,16,147 Average,1550,1600,1575,
,20/10/2016,10,147 Average,1550,1600,1575,
,26/10/2016,8,147 Average,1550,1625,1575,
