Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
A lot,01/04/2019,0.05,Medium,1600,1700,1650,
,02/04/2019,8455,Medium,1575,1840,1700,
,03/04/2019,8051,Medium,1621,1934,1840,
,04/04/2019,8465.06,Medium,1650,1840,1840,
,05/04/2019,9033,Medium,1640,1840,1840,
,06/04/2019,0.05,Medium,1650,1750,1725,
,07/04/2019,0.05,Medium,1650,1775,1750,
,08/04/2019,13934.57,Medium,1500,1840,1840,
,09/04/2019,12005,Medium,1595,1840,1840,
,10/04/2019,9278,Medium,1546,1840,1840,
,11/04/2019,7618,Medium,1590,1840,1840,
,12/04/2019,9547,Medium,1625,1840,1840,
,13/04/2019,0.05,Medium,1625,1840,1840,
,14/04/2019,0.05,Medium,1625,1840,1840,
,15/04/2019,6066,Medium,1600,1840,1840,
,16/04/2019,6129,Medium,1553,1840,1840,
,17/04/2019,0.05,Medium,1553,1840,1840,
,18/04/2019,7867,Medium,1620,1840,1840,
,19/04/2019,0.05,Medium,1620,1840,1840,
,20/04/2019,1317,Medium,1606,1840,1840,
,21/04/2019,0.05,Medium,1606,1840,1840,
,22/04/2019,7188,Medium,1575,1840,1840,
,23/04/2019,5950,Medium,1613,1850,1840,
,24/04/2019,6378,Medium,1625,1844,1840,
,25/04/2019,5414,Medium,1666,1840,1840,
,26/04/2019,3238,Medium,1700,1850,1840,
,27/04/2019,0.05,Medium,1700,1850,1840,
,28/04/2019,0.05,Medium,1700,1850,1840,
,29/04/2019,7425,Medium,1680,1840,1840,
,30/04/2019,9039,Medium,1700,1840,1840,
Agar,01/04/2019,0.4,Other,1650,1850,1780,
,03/04/2019,1300,Other,1600,1950,1820,
,04/04/2019,1400,Other,1650,1960,1800,
,06/04/2019,50,Other,1650,1960,1700,
,08/04/2019,1500,Other,1600,1960,1750,
,09/04/2019,1800,Other,1600,1960,1750,
,10/04/2019,1100,Other,1550,2010,1680,
,11/04/2019,900,Other,1550,2050,1680,
,12/04/2019,750,Other,1580,2040,1680,
,15/04/2019,1100,Other,1580,2030,1680,
,17/04/2019,600,Other,1570,1960,1700,
,18/04/2019,600,Other,1580,1950,1720,
,20/04/2019,500,Other,1540,1950,1710,
,21/04/2019,4,Other,1650,1950,1750,
,22/04/2019,700,Other,1630,2000,1730,
,23/04/2019,750,Other,1650,2100,1740,
,24/04/2019,650,Other,1640,2040,1750,
,25/04/2019,550,Other,1650,2035,1760,
